Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
mig6,protein,,mig6,uniprot,q9y6x7,cytoplasm,go:0005634,egfr,protein,,egfr,uniprot,p00784,plasma membrane,go:0005886,negative,d,downregulates,,,melanoma,,human,['18'],nan,nan,mig6 inhibits migration and invasion through akt in mutant nras melanoma cells,pmc4789776,1,100,40,1,140
mir-21,noncodingrna,microrna,mir21,mirbase,mir21,cytoplasm,go:0005739,erk1/2,protein,,mapk3,uniprot,p00716,cytoplasm,go:0005739,negative,d,binds,mirna,,b-cell,,human,['190'],nan,nan,"the significant increase between stages i to iii is expected given the multiple roles it plays in cellular signaling whereas the significant decrease between stages iii to iv was surprising. this decrease however suggests that in later stages of crc this pathway is being placed in check somehow. reviewing the mirna responsible for regulating erk1/2 in our data set informs us that the only mrna that is targeted by mir-21 is erk1/2. our data shows that mir-21 is consistently increased compared to normal tissues at stages ii, iii, and iv. given the evidence we have so far shown regarding the number of mirna depressed resulting in an increased phosphorylation of their targeted signaling molecules it is interesting to propose that here mir-21's elevation may be responsible for the decreased phosphorylation of erk1/2 from stages iii to iv (fig. 3).",pmc3187934,1,100,40,1,140
mmc,drug,,,,,,,erk,protein,,,uniprot,q92078,plasma membrane,go:0005886,positive,d,activates,,,glioblastoma,brain,human,['517'],nan,nan,"while mmc activates erk in wild type but not p53 deficient mefs [66], etop induces erk activation in wild type and p53-/- mefs [7]. additionally, both cisplatin and uv robustly activate erk in human glioblastoma t98g cells lacking functional p53 [69]. therefore, while p53 may contributes to dna damage-induced erk activation under certain conditions, p53 function may not be required. this will be in line with the observation that at least half of human cancers express mutant p53. consistent with atm being the apical kinase in ir-initiated ddr, it has been shown that ir-induced erk activation in u87 cells is partially regulated by atm [8]. similar observations were also obtained from photolysis-induced dsbs [75].",pmc3330700,1,100,40,1,140
mtor/s6k,signalingpathway,,,uniprot,,,,irs-1,protein,,irs1,uniprot,q07817,plasma membrane,go:0005886,negative,i,phosphorylation,,mefs,b-cell,,mouse,['101'],nan,nan,"+/+ mefs after phosphatase treatment (fig. 4 a). to determine if this change in irs-1 phosphorylation is caused by mtor/s6k signaling, we treated tsc2",pmc2172316,1,100,40,1,140
mtorc1/2,proteincomplex,,tor1,uniprot,q92572,plasma membrane,go:0005886,akt,protein,,akt1,uniprot,p02139,plasma membrane,go:0005886,positive,d,phosphorylation,,,b-cell,,vein,['116'],nan,nan,2.3.3. feedback loops linking mtorc1/2 with akt and mek/erk signaling,pmc3837323,1,100,40,1,140
mtorc2,protein,,pi3k1,uniprot,q9hzf7,plasma membrane,go:0005886,akt,protein,,akt1,uniprot,p05719,plasma membrane,go:0005886,positive,d,phosphorylation,s473,,,,human,['229'],nan,nan,"the best-characterized function of mtorc2 is the activation of akt by phosphorylating it on s473 which is essential for the regulation of various important cellular processes such as cell growth, proliferation, glucose metabolism, and apoptosis by activated akt [33]. the phosphorylation of another conserved motif on akt is also mediated by mtorc2 [47] and thus mtor lies both upstream (mtorc2) and downstream (mtorc1) of akt. the other important substrates of mtorc2 are sgk (serum and glucocorticoid-inducible kinase) and pkcα (protein kinase cα) [48]. mtorc2 functions also include regulation of pkc maturation and stability [47] in addition to organization of actin cytoskeleton [41].",pmc4258317,1,100,40,1,140
møcm,protein,,,uniprot,,plasma membrane,go:0005886,irs-1,protein,,irs1,uniprot,q05702,plasma membrane,go:0005886,negative,d,inhibits,,,b-cell,,vein,['463'],nan,nan,møcm stimulation of neoplastic growth is diminished when igf-1 content is decreased,pmc3135566,1,100,40,1,140
nodal,protein,,ndl,uniprot,q92733,cytoplasm,go:0005739,tgf-β,protein,,tgfb1,uniprot,p00147,extracellular space,go:0005886,positive,d,binds,,,none,none,human,['510'],nan,nan,"nodal factors are secreted signaling proteins of the transforming growth factor-β family, with essential functions in axis formation and germ layer specification during embryonic development in sea urchins, snails, ascidians, frogs, fish, and mammals (jones et al., 1995; collignon et al., 1996; erter et al., 1998; feldman et al., 1998; rebagliati et al., 1998; sampath et al., 1998; hudson and yasuo, 2005; shen, 2007; constam, 2009; grande and patel, 2009; duboc et al., 2010). nodal signaling has also been shown to be important for maintaining human es cell pluripotency (james et al., 2005; vallier et al., 2005). misregulated nodal signaling has been found associated with tumor metastases (topczewska et al., 2006). therefore, understanding the mechanisms that regulate nodal signaling is crucial.",pmc3771576,1,100,40,1,140
notch,protein,,notch1,uniprot,q92374,plasma membrane,go:0005886,kras,protein,,kras,uniprot,q92039,plasma membrane,go:0005886,positive,d,downstream,,,,,human,['83'],nan,nan,"aberrant notch signalling was shown to play important roles in haematological malignancies [4] and some solid tumours [2] such as pancreatic ductal adenocarcinoma (pda). indeed, reactivation of notch signalling is observed early in pda pathogenesis and persists throughout the progression of the disease [5–8]. exome sequencing of human pda tissues provided further support of a critical role for notch signalling in pancreatic carcinogenesis [9]. interestingly, blockade of notch signalling with gamma-secretase inhibitor prevented the progression of premalignant pancreatic lesions to pda in a mouse model of kras-induced pda [10,11]. noteworthy, kras downstream signalling plays critical role in pancreatic carcinogenesis as oncogenic mutation in kras are found in 95% of pda [9,12]. furthermore, reduced notch signalling in human pancreatic cancer cell lines correlated with reduced proliferation rates, increased apoptosis, decreased anchorage-independent growth and decreased invasion properties [11,13–16]. this connection between notch and ras signalling is not unique to pancreatic cancer cells. indeed, ras and notch signalling were shown to cooperate in promoting carcinogenesis in breast cancer cells, melanoma and leukemia [17–19]. globally, targeting notch signalling appears an attractive new therapeutic strategy particularly for pda patients [20]. however, a better understanding of the pathway is critical in order to develop effective notch inhibitors and/or antagonists since gamma-secretase inhibitors, although useful, are not notch specific and indiscriminately impact all signalling pathways regulated by the gamma-secretase complex besides instigating gastrointestinal toxicity [21–23].",pmc3877363,1,100,40,1,140
notch,protein,,notch1,uniprot,q92830,plasma membrane,go:0005886,akt,protein,,akt1,uniprot,q04702,plasma membrane,go:0005886,positive,d,cooperate,,,b-cell,,vein,['440'],nan,nan,"it is interesting to note that whilst the model we propose is consistent with the data generated in peripheral t-cells, a number of studies suggest that the opposite is true [26-28]. ciofani et al demonstrate that during the earliest stages of t-cell development in the thymus notch signals co-operate with pre-tcr signalling to activate akt-dependent metabolism, thereby promoting expansion of those t-cells which have undergone favourable tcr rearrangement. the functional outcome of pi3k/notch pathway interaction thus appears to reverse from developing to mature t-cells, an observation which further underlines the ability of the notch pathway to perform multiple, context-dependent, tasks during development. we suggest that a molecular understanding of how notch can function as a bi-directional regulator of akt activity is a research priority.",pmc1403772,1,100,40,1,140
noxa,protein,,noxa,uniprot,q96556,cytosol,go:0005735,ras,protein,,ras,uniprot,q96556,cytosol,go:0005735,negative,d,inhibition,,igr3,melanoma,,human,['550'],nan,nan,"noxa plays a role in induction of autophagy by oncogenic activation of ras, which is an upstream kinase of raf/mek/erk signaling [23]. since noxa is upregulated by activation of mek/erk, we examined whether noxa is involved in induction of autophagy by mek/erk signaling. to this end, we stably knocked down noxa in igr3 and mel-rm cells by shrna (figure 5a). inhibition of noxa resulted in increases in melanoma cell proliferation as shown in 5-bromo-2′-deoxyuridine (brdu) incorporation and clonogenic assays (figures 5b and c), suggesting that noxa negatively regulates melanoma cell proliferation. on the other hand, it reduced the accumulation of lc3-ii caused by bafilomycin a1, recapitulating the effect of u0126 on the autophagy flux in both igr3 and mel-rm cells, and the effect of plx4720 in igr3 cells (figures 4c and 5d). furthermore, knockdown of noxa blocked accumulation of lc3-ii in mel-rm cells triggered by bafilomycin a1 in the presence of plx4720 (figure 5e). collectively, these results indicate that noxa is required by autophagy driven by mek/erk signaling in melanoma cells.",pmc4294377,1,100,40,1,140
npm,protein,,npm1,uniprot,q05516,nucleus,go:0005634,p21,protein,,cdkn1a,uniprot,q05517,nucleus,go:0005634,positive,d,regulation,,,b-cell,,,['48'],nan,nan,"we confirmed that the regulation of npm oligomerisation and p53mut levels in psn1 cells were affected by akt inhibition with mk-2206 in-vitro (fig. 5a, s5b and 7b). psn1 cells were injected into athymic nude mice which were subsequently treated with mk-2206 or carrier as indicated (fig. 7a). tumors were excised and reduced levels of phospho-s473-akt and phospho-s48-npm are apparent in the tumor lysates of mk-2206 treated mice, correlating with the enhanced oligomerization of npm and induction of p21 expression (fig. 7a). additionally, we verified that increased p21 expression in mk-2206 treated psn1 xenografts was linked to inhibition of akt, decreased phospho-s48-npm, arf nucleolar re-localization and decreased p53mut expression by ex-vivo staining of tumor sections by immunofluorescence and immunohistochemical staining (ihc) (fig. 7b, 7c and 7d). in agreement with previous reports [9], pi-3k and akt inhibitors have little effect on tumor growth as single agents (fig. s7c). however, our data demonstrates that reduction of p53mut levels reinstates tumor suppressor and dna damage responses (fig. 6a, s6a and s6b). we therefore selected the minimal dose that reduced akt activity (60 mg/kg) for xenograft studies in combination with a single dose of ir (6 gy, xrt) to determine whether synergy can be achieved in-vivo. mk-2006 induced a tumor growth delay of 3.3 days compared to control animals, however, overall survival (time to sacrifice) was not affected. in contrast, the combination of mk-2206 with a single dose of xrt resulted in a growth delay of 12.5 and 9.2 days compared to either xrt or mk-2206 alone (fig. 7e and s7d). moreover, this resulted in a significant increase in survival of the treated animals (represented here by the surrogate measure of 4 times tumor volume from time of randomization and initiation of treatment) compared to controls (p<0.0001 mantel cox log-rank; p<0.0001 gehan-breslow-wilcoxon).",pmc4171619,1,100,40,1,140
npm,protein,,npm1,uniprot,q92575,nucleus,go:0005634,p53,protein,,tp53,uniprot,p00749,nucleus,go:0005634,negative,d,binds,,mef,immortal,,mouse,['55'],nan,nan,npm −/− p53−/− mefs were seeded on a 10 cm dish 24 hrs before the first infection. virus containing supernatants were filtered (0.4 μm) and mixed 1:2 with fresh media and polybrene (8 μg/ml final concentration). npm −/− p53−/− mefs were infected a total of 3 times and 24 hrs after the final infection selected in complete media supplemented with 3 μg/ml puromycin (sigma). experiments were performed at least 3 days after selection.,pmc4171619,1,100,40,1,140
h1.2,protein,core complex,h1f1,uniprot,p00908,nucleosome,go:0005886,p53,protein,tumor suppressor,tp53,uniprot,q04727,cytoplasm,go:0005634,positive,d,binds,,,b-cell,,vein,['525'],nan,nan,"a flurry of recent studies about linker histone h1 proteins has offered the new emerging aspect that this family of proteins might be linked to regulation of specific genes, in addition to their well-known roles as a structural component of the nucleosome. in further support of h1 function in gene specific transcriptional regulation, we recently showed that the binding of the h1.2 core complex consisting of h1.2, yb1 and purα to p53 causes an impairment of p53-mediated transcription. although our studies uncovered a previously unrecognized role for the h1.2 complex in suppressing p53 transcriptional activity, it was not clear how h1.2 dissociates from p53 to initiate p53 transactivation in response to dna damage. in this study, we demonstrate the functional crosstalk between p53 acetylation and h1.2 phosphorylation in triggering h1.2 release from p53 as well as in stimulating p53 transcriptional network (see figure 6b).",pmc3330162,1,100,40,1,140
gsk3,protein,,,uniprot,,,,dp,protein,,,uniprot,tcr,plasma membrane,go:0005886,positive,d,binds,,hek 293t,epithelial-like,,human,['274'],nan,nan,"gsk3 is recruited to dp to modulate dp–if complexes. (a) endogenous dp associates with ha-gsk3 in ha immunoprecipitations in hek 293 cells, assessed by immunoblotting. (b) scc9 cells were fixed, and dp and gsk3 associations were analyzed by pla analysis using anti-dp (nw6) and anti-gsk3 antibodies. direct interactions (red) and nuclei (dapi, blue). bars, 10 µm. (b′) pla fluorescent spots are counted and divided by the total number of nuclei in an image. data were obtained from antibody pairs for >500 cells per experiment for three independent experiments. *, p < 0.001. error bars indicate sem. (c and c′) phospho-dp in licl- or nacl-treated scc9s, assessed by immunoblotting. full-length endogenous dp has two known isoforms, dpi (310 kd) and dpii (250 kd) that are generated by alternative splicing. both of these contain s2849 and are recognized by the phospho-dp antibody. densitometry quantification of three independent experiments. error bars indicate sem. (d) dp phosphorylation in sictr or sigsk3-treated cells, assessed by immunoblotting. (e and e′) phospho-dp in control or cagsk3 transfected cells, and lysates were assessed by immunoblotting. densitometry quantification of three independent experiments. *, p < 0.001. error bars indicate sem. (f) s-tag affinity pull-down of ha-gsk3 and dp s-tag (dp ct) hek 293 cells, assessed by immunoblotting. (g) nacl-, licl-, or ly-294,002 (gsk3 activator)–treated dp s-tag (dp ct) expressing cell lysates, assessed by immunoblotting. dp s-tag (dp ct) is present as a doublet where the lower band (32 kd) contains phosphorylation of s2849, whereas the higher band (red arrow, 36 kd) contains both phosphorylation of s2849 and downstream gsk3-phosphorylated sites (see cartoon in fig. 3 a). (g′) densitometry quantification of g from three independent experiments. *, p < 0.001. error bars indicate sem. (h) nacl- or licl-treated dp s-tag (dp ct) cells were transfected with control or cagsk3, assessed by immunoblotting. long exposure and short exposure of dp ct blot shown to visualize upper phospho-states of dp (36 kd). (h′) densitometry quantification of phospho-dp divided by total dp from three independent experiments. error bars indicate sem.",pmc4347645,1,100,40,1,140
gsk3,protein,,gsk3a,uniprot,q92078,cytosol,go:0005634,htert,protein,,tert,uniprot,q92077,nucleus,go:0005634,positive,d,activates,,a2780,cancer,,human,['365'],nan,nan,"we show that glycogen synthase kinase 3 (gsk3) activates htert transcription and characterise the pathway upstream of htert. gsk3 inhibition reduced htert promoter activity, expression, telomerase activity and telomere lengths in several cell lines and suppressed tumour growth and htert expression in a xenograft model. therefore, gsk3 inhibition may be an appropriate anti-cancer strategy. prolonged gsk3 inhibition in a2780 cells profoundly reduced telomere lengths; interestingly however, htert expression was not stably suppressed but showed dynamic oscillation.",pmc2714081,1,100,40,1,140
flag-atm,protein,,flag2,uniprot,q92313,cytoplasm,go:0005739,atm,protein,,atm,uniprot,p00715,cytoplasm,go:0005739,negative,d,binds,,hek 293t,b-cell,,human,['333'],nan,nan,"hek293t cells were transiently transfected with pcdna3-flag-atm using polyethylenimine (pei, polysciences). forty-eight hours after transfection, the cell lysates were prepared and immunoprecipitated with anti-flag antibody and protein g beads. precipitates were washed and subjected to atm kinase assay as described previously (27). for chk2 kinase assay, the purified recombinant full-length human chk2 kinase (#7434, cell signaling technology) was used following the manufacturer’s protocol.",pmc3575827,1,100,40,1,140
cdk9,protein,,cdk9,uniprot,p15492,nucleus,go:0005634,chk2,protein,,chk2,uniprot,q96ja2,nucleus,go:0005634,negative,d,phosphorylation,,,,,,['494'],nan,nan,the ccar2-dependent failure of dna repair is caused by defective chk2 activity,pmc4627348,1,100,40,1,140
cink4,protein,,cink4,uniprot,p01730,plasma membrane,go:0005886,apoptosis,biologicalprocess,,,,,,,positive,d,induces,,,,,,['372'],nan,nan,"apoptosis in cancer has been of particular interest from a therapeutic standpoint, since therapies should ultimately lead to the eradication of cancer cells through apoptosis.37 we were surprised to observe the synergistic anti-proliferative activity of paclitaxel simultaneously combined with cink4, especially more than 10 µm concentration (>ic50). this result be associated with potent apoptosis induced by higher concentration of cink4. apoptotic induction is a key mechanism for this combination in kras mutated adenocarcinoma with active rb. in addition, the synergistic anti-proliferative activity also occurred by this combination in kras wild type pc14 cells (fig. s1). it’s suggested that the combination therapy is generally for tumor cells regardless of kras.",pmc3742489,1,100,40,1,140
coxii,protein,mitochondrion-associated,cox2,uniprot,q92573,mitochondria,go:0005739,egfr,protein,,egfr,uniprot,p00443,plasma membrane,go:0005886,positive,d,binds,,,b-cell,,vein,['224'],nan,nan,"the group of parsons also showed that cytochrome c oxidase subunit ii (coxii) is an alternative binding partner of the phosphorylated y845 of egfr [50]. coxii is a mitochondrion-associated protein that acts as a component of the oxidative phosphorylation pathway. mitochondria are well known as the center for energy metabolism as well as survival machinery. the importance of y845 phosphorylation and coxii engagement of egfr in mitochondria is suggested by the fact that wild-type egfr, but not y845 mutant of egfr, translocates to mitochondria where it physically associates with coxii, and that such interactions contribute to an increase in survival of mda-mb-231 breast cancer cells under serum-deprived or adriamycin-treated “pro-apoptotic” conditions [56,57]. a growing body of knowledge indicates that src can also be localized to mitochondria [58–64] (for review, see [65]) and that src may be responsible for maintaining cell survival through phosphorylation of mitochondrial proteins [66], suggesting that egfr and src communicate not only in the plasma membrane but also in cytoplasmic organelles. in addition, a mutant form of egfr expressed in glioma cells, named de2-7egfr/egfrviii, was shown to translocate to mitochondria in an src-dependent manner and to be phosphorylated on y845 [67]. more recently, miyake and parsons [68] have shown that choline kinase α, an enzyme that converts choline to phosphocholine in the phosphatidylcholine synthesis and whose overexpression correlates with poor prognosis, high grade and increased aggressiveness in some types of human cancer, interacts directly with egfr, is tyrosine-phosphorylated in an src-dependent manner, and contributes to breast cancer cell proliferation. however, the importance of y845 phosphorylation in this process is not known.",pmc3709701,1,100,40,1,140
d-type cyclin,protein,,cdc2l1,uniprot,q92578,nucleus,go:0005739,prb,protein,,rb1,uniprot,p19872,nucleus,go:0005739,positive,d,phosphorylation,,nih 3t3,b-cell,,rat,['245'],nan,nan,"d-type cyclin-cdk4/6 complexes should accumulate in the nucleus in order to phosphorylate their nuclear substrates including prb, p107 and p130. moreover, the activity of cdk4/6 requires their activating phosphorylation on thr172/177 by the cdk-activating kinase (cak), which is a nuclear holoenzyme (but see discussion below). accordingly, a mutant of cyclin d1 that assembles with cdk4 but prevents its nuclear localization (but also its activation by cak in vitro) dominantly inhibits the ability of nih 3t3 cells to enter s phase [128]. conversely, ectopic expression (together with cdk4) of a nucleus-targeted variant of cyclin d1 but not of wild-type cyclin d1 promotes reentry of cardiomyocytes into cell cycle, suggesting a critical role of cyclin d1 nuclear import [129]. recently, the oncogenic potential of mutations that prevent the nuclear export of cyclin d1 has been demonstrated [54,130]. nuclear translocation of cyclin d1 and cdk4 during mitogenic processes has been observed in vivo, including in rat liver regeneration [131] and in the estrogen-induced proliferation of uterine epithelium [132].",pmc1647274,1,100,40,1,140
ddr,protein,,,uniprot,,,,p53,protein,,tp53,uniprot,q04780,nucleus,go:0005739,negative,d,inactivation,,,,,human,['7'],nan,nan,"the characterization of the ddr in stem cells is important not only for basic knowledge but also for technical and therapeutic reasons. however, current knowledge about the ddr in stem cells is limited. it is known that mutations in ddr proteins lower the possibility of success in the stabilization of induced pluripotent stem (ips) cells, and also that p53 is transiently inactivated during the process of ips cell generation (hong et al., 2009; marion et al., 2009).",pmc4296918,1,100,40,1,140
