index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
1288,tert,protein,,tert,uniprot,o14727,nucleus,go:0005634,rac1p29s,protein,,rac1,uniprot,p63000,plasma membrane,go:0005886,positive,d,activating mutation,,,melanoma,,mouse,['1277'],nan,nan,"vertical growth melanomas are characterized by the appearance of a nodular outgrowth [8,12,13]. histologically, these tumors are distinguished by mitotically active nests of melanoma cells, which extends toward the papillary dermis, expanding eventually into the reticular dermis and the hypodermis [8,12,13]; their melanocytes can grow in soft agar and form tumors when implanted in nude mice (reviewed in reference [13]). genetically, vertical growth and metastatic melanomas show a further increase in tert mutational rate and, more generally, in the mutational load over radial growth melanomas. furthermore, advanced melanomas show the additional contribution of other activating mutations—including rac1p29s [30,31], ribosomal protein s27 (rps27) [32], and stk19 [33]—and the biallelic inactivation of a number of tumor suppressor genes—including the glutamate receptor ionotropic, n-methyl d-aspartate 2a (grin2a, which is mutated in 30% of advanced melanomas) [34,35], the cyclin-dependent kinase inhibitor 2a (cdkn2a) [9,36], the phosphatase and tensin homolog (pten) [9,37], and the tumor protein 53 (tp53) [9,12,36]; melanocytes from advanced melanomas can grow in soft agar and form tumors when implanted in nude mice (reviewed in reference [13]).",pmc6472057,1,10,19,1,29
488,il-1β,protein,interleukin,,uniprot,p01584,extracellular space,go:0005615,mapk,protein,,mapk,uniprot,p27361,cytoplasm,go:0005737,positive,i,activation,,primary cortical astrocyte,astrocyte,brain,,['943'],nan,nan,"the present study employs an interleukin-1β (il-1β) stimulated primary cortical astrocyte model in vitro and a nigrostriatal pathway injury model in vivo to mimic the astrocyte activation induced by traumatic brain injury. the activation of gfap, sirt1, and mapk pathways were detected by western blot; astrocyte morphological hypertrophy was assessed using immunofluorescence staining; in order to explore the neuroprotective effect of regulation sirt1 expression and mapk pathway activation, the motor and neurological function tests were assessed after injury.",pmc5372348,1,10,19,1,29
282,egfr,protein,receptor,egfr,uniprot,p00533,cell membrane,go:0005886,erk,protein,kinase,mapk1,uniprot,p28482,cytoplasm,go:0005737,positive,i,inhibition,egfr-ras-erk pathway,,,,,['658'],nan,nan,robust inhibition of the egfr-ras-erk pathway sensitizes for navitoclax-induced cell death.,pmc5127645,1,10,19,1,29
270,egfr,protein,,egfr,uniprot,p00533,plasma membrane,go:0005886,erk,protein,,,uniprot,p27361,cytoplasm,go:0005737,positive,i,signaling,,,,lung,human,['1006'],nan,nan,"together, there is an urgent and unmet need for novel therapeutic approaches to effectively block egfr/ras/raf/mek/erk signaling. new insights into the regulation of mitogen‐activated protein kinase (mapk)/erk signaling pathway could reveal new therapeutic point of intervention, therefore are greatly needed. given that many lung adenocarcinomas lacking egfr/ras/raf mutations also displayed significant mapk activation (cancer genome atlas research, 2014), it is reasonable to predict that there are additional, still undetected mapk pathway regulators.",pmc5467491,1,10,19,1,29
269,egfr,protein,,egfr,uniprot,p00533,plasma membrane,go:0005886,erk,protein,,mapk1,uniprot,p28482,nucleus,go:0005634,positive,i,pathway activation,,,,,human,['682'],nan,nan,"“to exclude that the tumors had acquired resistance during the in vivo drug treatment, we isolated the tumors to re-establish secondary organoids and subjected these to identical drug tests. […] indeed, in agreement with lower drug concentrations that proved to be ineffective in blocking proliferation in vitro (figure 1—figure supplement 1, video 1), we speculate that the in vivo drug concentrations were insufficient to effectively block the egfr-mek-erk pathway.”",pmc5127645,1,10,19,1,29
209,da-raf,protein,,,uniprot,q9y5s8,cytoplasm,go:0005737,ras,protein,,ras,uniprot,p01112,plasma membrane,go:0005886,negative,d,binds,cytoplasm,rle cells,epithelial,lung,mouse,['818'],nan,nan,"da-raf binds to active ras and suppresses the erk pathway. in consequence, intrinsic da-raf serves as a positive regulator of myogenic differentiation [28] and lung alveolarization [29], both of which are prevented by the ras—erk pathway. accordingly, we examined whether da-raf is required for tgf-β1-induced emt through suppressing the ras—erk pathway. a coimmunoprecipitation assay showed that stimulation of rle cells with tgf-β1 induced the binding of da-raf to ras (fig 5a). thus, we analyzed the phosphorylation status of mek1/2 and erk1/2 in the control and da-raf knockdown cells. endogenous da-raf as well as a-raf was expressed at a constant level for 60 min during tgf-β1 stimulation in the control cells (fig 5b). in these cells, the phosphorylation levels of both mek1/2 and erk1/2 were transiently elevated at around 5 min after tgf-β1 stimulation and then declined to basal levels by 15 min. on the other hand, their phosphorylation levels were higher in da-raf knockdown cells than in the control cells at every time point for at least 60 min (fig 5b). these results suggest that the binding of da-raf to ras, which is activated by tgf-β1 stimulation, interferes with the activation of mek and erk in rle cells.",pmc4440819,1,10,19,1,29
127,brafv600e,protein,mutated,braf,uniprot,p15056,cytoplasm,go:0005737,erk,protein,,mapk1,uniprot,p28482,cytoplasm,go:0005737,negative,i,insensitivity,erk dependency,human thyroid carcinoma,carcinoma,thyroid,human,['237'],nan,nan,brafv600e-mutated human thyroid carcinoma cells are insensitive to relief of erk dependent upstream negative feedback.,pmc5599027,1,10,19,1,29
83,braf,protein,kinase,braf,uniprot,p15056,cytoplasm,go:0005737,egfr,protein,receptor,egfr,uniprot,p00533,cell membrane,go:0009986,negative,i,mutation,t790m,,lung cancer,lung,human,['1005'],nan,nan,"for example, recent clinical trial result showed that the response rate of non‐small‐cell lung cancer patients to vemurafenib (braf inhibitor) was 42% (hyman et al., 2015), suggesting that not every braf mutant non‐small‐cell lung cancer patients responded to braf‐targeted therapy; ras oncogene is still considered ‘undruggable’, with no effective ras inhibitors in clinical use; in egfr‐targeted therapy, although initial response rates are high (71.2–83%) among patients with egfr mutations, all patients eventually develop resistance (chong and janne, 2013). the most common mechanism of resistance to egfr inhibitors is a secondary mutation in egfr itself (t790m, threonine‐to‐methionine amino acid change at position 790), which renders the activated kinase insensitive to these agents (kobayashi et al., 2005; yu et al., 2013).",pmc5467491,1,10,19,1,29
534,kras,protein,isoform,kras,tcga,,,,kras4b,protein,isoform,kras,,,,,positive,d,expression,,,tumor,"lung, pancreas, colon",human,['415'],nan,nan,"we first focused on kras and its kras4a and kras4b isoforms within the tcga tumor types in which kras is frequently mutated. figure 1a shows expression levels for kras in lung adenocarcinoma (luad), pancreatic ductal adenocarcinoma (paad), and colon adenocarcinoma (coad) samples. in each tumor type, we observed statistically significant increases in expression of mutant kras using the t test. the values are shown on the figure along with the numbers of samples for each condition.",pmc5467702,1,10,18,1,28
535,kras,protein,isoform,kras,uniprot,p01116,cytoplasm,go:0005737,kras,protein,isoform,kras,uniprot,p01116,cytoplasm,go:0005737,positive,d,increased expression,,,,,,['417'],nan,nan,kras4a and kras4b isoforms both show increased expression in the context of kras gene mutations,pmc5467702,1,10,18,1,28
43,bcl-2,protein,anti-apoptotic,bcl2,uniprot,p10415,mitochondria,go:0005739,bcl-2,protein,anti-apoptotic,bcl2,uniprot,p10415,mitochondria,go:0005739,positive,d,altered expression,,snu-1 and hgc27,gastric cancer cells,xenograft tissues,human,['792'],nan,nan,"as critical regulators of cell apoptosis, bcl-2 family can be divided into pro-apoptotic protein such as bak, bad and bid, and anti-apoptosis proteins including bcl-2 and bcl-xl. in our study, compared with irinotecan, gimatecan could induce obvious cell apoptosis accompanied by increased expression of bak and decreased expression of bcl-2 in snu-1 and hgc27 cells. however, cell apoptosis was not significantly observed in xenograft tissues after gimatecan treatment, which might be mainly due to the tumor heterogeneity of xenografts.",pmc5729429,1,10,18,1,28
551,kras,protein,,kras,uniprot,p01116,,,kras,protein,,kras,uniprot,p01116,,,positive,d,increase in expression,,ccle,,,,['426'],nan,nan,ccle cell lines with kras mutations also show an associated increase in kras expression,pmc5467702,1,10,18,1,28
566,kraswt,protein,,kras,uniprot,p01116,plasma membrane,go:0005886,krasg12d,protein,,kras,uniprot,p01116,plasma membrane,go:0005886,negative,d,mutation,,patient-derived crc organoids,epithelial,colorectal,human,['635'],nan,nan,"(a) schematic representation of the crispr/cas9-induced homologous recombination strategy to introduce the krasg12d mutation in the kraswt patient-derived crc organoid p18t. green bar: start codon. red bar: g12d mutation. parental and mutant sequences are shown on the right. (b) extensive dual-inhibitor dose-response assay of patient-derived crc organoids p18t and p18t-krasg12d treated for 72 hr. 14×14 drug concentrations of afatinib and selumetinib were chosen with logarithmic intervals covering a 5 nm–5 μm range. the results of the full matrix screen are represented as a heat map (left), where red represents 0% atp levels (no viability) and green represents 100% atp levels (max viability). the dose-response curves to the right represent the horizontal (afatinib monotherapy), vertical (selumetinib monotherapy) and diagonal (afatinib/selumetinib combination therapy) lines in the heat maps. dashed lines are p18t; solid lines are p18t-krasg12d. (c) stills from representative time-lapse imaging (three days) of crc organoids p18t and p18t-krasg12d treated with vehicle (dmso) or afatinib + selumetinib (both 1 µm) (see also video 1). in every panel, upper images show color-coded depth of maximum-projected z-stacks of h2b-mneongreen fluorescent organoids. lower panels: corresponding transmitted light images. time interval: 15 min. scale bars: 20 µm. representative time-lapse of 2 (total eight organoids/condition) and four experiments (total 20 organoids/condition) for p18t and p18t-krasg12d resp. (d) mitotic and apoptotic events in the organoid drug response movies (c and video 1) were manually marked and quantified (see materials and methods and figure 3—figure supplement 3). in comparison with vehicle (-), drug treatment of p18t with afatinib and selumetinib (a+s) results in both proliferation block and apoptosis induction, while p18t-krasg12d only shows reduced proliferation but unchanged apoptosis rates. error bars represent standard deviation. *p<0,05; ***p<0,001; n.s. = not significant (p=0,4)",pmc5127645,1,10,18,1,28
342,erk,protein,,,uniprot,p27361,cytoplasm,go:0005737,erk,protein,,,uniprot,p27361,cytoplasm,go:0005737,negative,i,inhibition of phosphorylation,,circulating lymphocytes,b-cell,,human,['146'],nan,nan,"because inhibition of erk phosphorylation has been used as a pharmacodynamic biomarker of mek inhibitor activity,35 the level of inhibition of erk phosphorylation was measured in circulating lymphocytes and tumor samples before and after selumetinib treatment in phase 1 studies. up to 100% inhibition of erk phosphorylation was seen 1 hour after the first dose of selumetinib, and up to 90% of inhibition (geometric mean, 79%) was observed on day 15 and day 22 of selumetinib treatment in circulating lymphocytes.32,33 in tumor biopsy samples, selumetinib treatment induced strong inhibition of erk phosphorylation, on average, by 79% by immunohistochemistry.32 however, ki67, a proliferation marker, was not reduced consistently in tumor samples after selumetinib treatment.32",pmc4179759,1,10,18,1,28
911,p70s6k,protein,constitutively active construct,rps6kb1,uniprot,p23443,cytoplasm,go:0005737,rps6,protein,,rps6,uniprot,p62753,cytoplasm,go:0005737,positive,d,phosphorylation,rps6,,,,human,['889'],nan,nan,"a previous report form axelrod et al.37, demonstrated that overexpression of a constitutively active p70s6k construct is able to overcome sensitivity to the combined inhibition of the her-family kinases and akt, through the maintenance of rps6 phosphorylation. surprisingly, we did not observe similar results with dasatinib and trametinib, which may be due to a difference in the mutational landscape of the cell lines tested, as the aforementioned study did not analyze cell lines with braf or ras mutations. in addition, rps6 is not the only node of convergence between the mapk and pi3k pathways, as additional effectors include the forkhead box o (foxo) family members, c-myc, bcl2-associated agonist of cell death (bad), gsk3, as well as others38. therefore, our data demonstrates that there may be alternative effectors mediating the oncogenic signaling outputs derived from the mapk and pi3k pathways, and that these alternative effectors should be analyzed in more detail to determine the key downstream nodes mediating growth and survival. interestingly in support of this, the majority of pik3ca-mutant thyroid cancer cell lines tested did not exhibit an increase in apoptosis in response to combined inhibition of src and the mapk pathway. furthermore, this is not completely surprising as our findings in fig. 1b uncovered an association between elevated levels of the pro-apoptotic proteins bax and smac being associated with src inhibitor sensitivity, suggesting that a link between src and pi3k pathway signaling can be uncoupled through the acquisition of pi3k mutations.",pmc5833015,1,10,18,1,28
115,braf,protein,serine/threonine kinase,braf,uniprot,o75359,cytoplasm,go:0005737,braf,protein,serine/threonine kinase,braf,uniprot,o75359,cytoplasm,go:0005737,positive,d,activating alteration,,,malignant melanoma,,human,['294'],nan,nan,"members of the mapk signalling pathway, such as nras, kras and braf are among the most frequently mutated proto-oncogenes in cancer. notably, activating alterations of the braf serine/threonine kinase gene have also been recently described in whole-genome and exome sequencing (wgs/wes) studies of mm further extending the evidence of a widespread dysregulation of mapk signalling in the disease [4-6, 24]. over the last few years, braf has received considerable attention as a result of the success of targeted malignant melanoma therapy [25], and encouraging preliminary results have emerged from exploratory studies of the use of braf inhibitors in patients with braf-mutated mm [7, 9].",pmc4695180,1,10,18,1,28
550,kras,protein,,kras,uniprot,p01116,,,kras,protein,,kras,uniprot,p01116,,,positive,d,affects expression levels,,,,lung adenocarcinoma (luad),human,['427'],nan,nan,"we divided the luad samples into subsets based both on their kras mutational status and their kras copy number status. the results of this sample breakdown are shown in figure 4. the first pair (all) shows the aggregate of all cnv states for either the wt or kras-mutant samples and shows the previously described expression increase in the mutant-harboring samples. the additional pairs represent 1-allele loss (loss=1), neutral (n=2), 1-allele gain (gain=1), and 2-allele gain (gain=2) for the wt and mutant samples (there are not adequate 2 allele loss samples available). as expected, cnv affects kras expression levels: there is a gradient of increased expression across the increasing cnv states, but in each pair, the difference between the kras-mutant and kras wt samples remains significant except for the 2-allele gain state where we suspect that the combination of low sample number and higher variance confounds the data. the p values and the sample numbers are indicated at the base of the figure. this finding confirms the contribution of cnv to kras expression increases, but as the kras-mutant samples consistently express a higher kras levels across the cnv continuum, there must be additional contributing factors. this result also confirms that at least in luad, for kras, there is a good correlation between kras copy number and expression using the derived gistic values. we also observed the expected increases in kras expression in pancreas and colon samples as a function of copy number, but they were not significant (table s3).",pmc5467702,1,10,18,1,28
