Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
myc,protein,,,,p01106,,,itk,protein,,,uniprot,q08881,,,negative,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,0.1,39,1,39.1
il_7r,protein,,,,p16871,,,dnm2,protein,,,uniprot,p50570,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,0.1,39,1,39.1
il_7r,protein,,,,p16871,,,dynamin_2,protein,,,uniprot,p50570,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,0.1,39,1,39.1
endocytosis,bioprocess,,,,go:0006897,,,dnm2,protein,,,uniprot,p50570,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,0.1,39,1,39.1
cd4,protein,,,,p01730,,,itk,protein,,,uniprot,q08881,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,0.1,39,1,39.1
il_7r,protein,,,,p16871,,,dnm2,protein,,,uniprot,p50570,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,0.1,39,1,39.1
il17a,protein,,,,q16552,,,reg,protein,,,uniprot,p05451,,,negative,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,0.1,39,1,39.1
il17a,protein,,,,q16552,,,cd4,protein,,,uniprot,p01730,,,negative,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,0.1,39,1,39.1
il17,protein,,,,q16552,,,reg,protein,,,uniprot,p05451,,,negative,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,0.1,39,1,39.1
ikaros,protein,,,,q13422,,,ik1,protein,,,uniprot,o15554,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5986278,1,0.1,39,1,39.1
cish,protein,,,,q9nse2,,,dll4,protein,,,uniprot,q9nr61,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5886055,1,0.1,39,1,39.1
cish,protein,,,,q9nse2,,,scf,protein,,,uniprot,p21583,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5886055,1,0.1,39,1,39.1
endocytosis,bioprocess,,,,go:0006897,,,dynamin_2,protein,,,uniprot,p50570,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,0.1,39,1,39.1
foxp3,protein,,,,b7zlg1,,,tcr,protein,,,uniprot,p04234,,,negative,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,10,19,1,29
cd25,protein,,,,p01589,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,10,19,1,29
akt,protein,,,,p31749,,,pten,protein,,,,p60487,,,negative,i,,,,,,,nan,nan,nan,pmc4418530,1,10,19,1,29
pten,protein,,,,p60484,,,mtorc2,complex,,,,q6r327,,,negative,i,,,,,,,nan,nan,nan,pmc4418530,1,10,5,1,15
mtor,protein,,,,p42345,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,10,5,1,15
foxp3,protein,,,,b7zlg1,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,10,2,1,12
