Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Database Source,Database ID,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
stat5,other,,,fplx,stat5,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,positive,i,increaseamount,,,,,,0.65,indra,"furthermore, although il-2 and the downstream activation of stat5 are required to induce the expression of foxp3 by t reg cells, il-2 can interfere with the differentiation of th17 cells through the activation of stat5.",pmc3949578,['nan'],['nan'],1,100,40,1,140
pdcd1,protein,,pdcd1,uniprot,q15116,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"mechanistically , pd-1 activity enhances pten levels and attenuates akt and pkc signalling in pre-malignant cells .",pmc5821214,['nan'],['nan'],1,100,40,1,140
hil-2,protein,,,uniprot,p15796,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,positive,i,activation,,,,,,0.65,indra,"to up-regulate cd25, naive cd4 + t cells were differentiated under neutral conditions without tgf-beta, conditions under which we did not observe increased development of foxp3 + it reg cells, and then washed and treated with hil-2.",pmc3949578,['nan'],['nan'],1,100,40,1,140
gatd3b,protein,,,uniprot,p30042,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,0.65,indra,"moreover, notch1 mediated transcriptional upregulation of il-7ralpha [xref_bibr] and hes1 mediated transcriptional repression of pten [xref_bibr] further contribute to enhance pi3k/akt/mtor signaling in notch1 dependent t-all.",pmc5618553,['nan'],['nan'],1,100,40,1,140
caspase,family,,,pfam,pf00656,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,0.65,indra,"pan caspase inhibition with the inhibitor zvad blocked degradation of pten under treg conditions (xref_fig), demonstrating that caspase mediated degradation of pten occurs during cd4 + t cell activation.",pmc4418530,['nan'],['nan'],1,100,40,1,140
caspase,family,,,pfam,pf00656,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"pan caspase inhibition with the inhibitor zvad blocked degradation of pten under treg conditions (xref_fig), demonstrating that caspase mediated degradation of pten occurs during cd4 + t cell activation.",pmc4418530,['nan'],['nan'],1,100,40,1,140
cd4,protein,,cd4,uniprot,p01730,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.65,indra,"furthermore, treatment of itk deficient cd4 + cells with pten specific shrna reduced the generation of foxp3 + cells, supporting the idea that altered pten expression contributes to rather than results from the increased generation of foxp3 + cells.",pmc3949578,['nan'],['nan'],1,100,40,1,140
cd4,protein,,cd4,uniprot,p01730,,,il2,protein,,il2,uniprot,p60568,,,negative,i,inhibition,,,,,,0.65,indra,"to further evaluate the responses of itk -/- cells to il-2, naive cd4 + t cells were differentiated under t reg cell conditions with different concentrations of hil2 in the presence of anti-mouse il-2 antibodies to eliminate the contribution of autocrine il-2 production.",pmc3949578,['nan'],['nan'],1,100,40,1,140
ec 2.7.1.127 (inositol-trisphosphate 3-kinase) inhibitor,simplechemical,,,chebi,chebi:84801,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.65,indra,"the presence of the pi3k inhibitor ly2940002 in t reg cell cultures enhanced the production of foxp3 by wt cd4 + t cells in the presence of anti-cd3 plus anti-cd28, increasing the expression from 16.4 to 32.2% (xref_fig); higher concentrations of the pi3k inhibitor were toxic for the cells (not depicted).",pmc3949578,['nan'],['nan'],1,100,40,1,140
ck2,bioprocess,,,go,go:0005956,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,0.65,indra,"at high dose, the activation of ck2 blocked pten activity and sustained akt activation.",pmc4418530,['nan'],['nan'],1,100,40,1,140
pdcd1,protein,,pdcd1,uniprot,q15116,,,pten,protein,,pten,uniprot,p60484,,,positive,i,increaseamount,,,,,,0.9419,indra,"thus, although these checkpoint inhibitors accelerate the growth of t cells with oncogenically sensitized tcr pathways, their pharmacological effects are only transient in contrast to the effect of t cell intrinsic pdcd1 gene deletion.we demonstrated above that the ligation of pd-1 enhances pten levels and attenuates pi3k/akt and pkcθ function after itk-syk signalling (see fig. 3f).",pmc5821214,['nan'],['nan'],1,100,40,1,140
icn1,other,,,text,icn1,,,relb,protein,,relb,uniprot,q01201,,,positive,i,increaseamount,,,,,,0.65,indra,"notch1, which is mutated in half of t-all cases (see section 5.1), can activate nf-kappab pathway in t-all cell lines and in the intracellular notch1 (icn1)-induced mouse model, either transcriptionally, promoting relb and p52 expression, or indirectly via ikk complex activation [xref_bibr].",pmc5618553,['nan'],['nan'],1,100,40,1,140
tcr,other,,,fplx,tcr,,,mtor,protein,,mtor,uniprot,p42345,,,positive,i,activation,,,,,,0.65,indra,"together, these data indicate that itk is required for full tcr induced activation of mtor and akt pathways in cd4 + t cells and suggest that alterations in these pathways may contribute to the increased expression of foxp3 in itk deficient cells.",pmc3949578,['nan'],['nan'],1,100,40,1,140
tcr,other,,,fplx,tcr,,,pten,protein,,pten,uniprot,p60484,,,negative,i,decreaseamount,,,,,,0.65,indra,"tcr signaling perturbs pten protein levels (xref_fig), but the molecular mechanisms that regulate pten protein levels in t cells are unexplored.",pmc4418530,['nan'],['nan'],1,100,40,1,140
map2k1,protein,,map2k1,uniprot,q02750,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.8775000000000001,indra,"transient suppression of pten at low dose arises from the inclusion of two regulatory mechanisms in the model: the requirement for mek1 to activate pten, ( xref ) and inhibition of mtorc2 by akt ( xref ).",pmc4418530,['nan'],['nan'],1,100,40,1,140
lymphoma,bioprocess,,,mesh,d008223,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"pd-1 signalling in a pd-1-transduced human lymphoma cell line also enhances pten and attenuates pi3k/akt and pkcθ (extended data fig. 9a, b, c).",pmc5821214,['nan'],['nan'],1,100,40,1,140
notch,family,,,pfam,pf00066,,,pten,protein,,pten,uniprot,p60484,,,negative,i,decreaseamount,,,,,,0.65,indra,34 cross talk has also been reported between notch signaling and p13k and akt in both human t-all cell lines and dn3 thymocytes on a op9-dl1 culture system in which notch represses pten expression.,pmc5886055,['nan'],['nan'],1,100,40,1,140
notch1,protein,,notch1,uniprot,p46531,,,nfkb2,protein,,nfkb2,uniprot,q00653,,,positive,i,increaseamount,,,,,,0.65,indra,"notch1, which is mutated in half of t-all cases (see section 5.1), can activate nf-kappab pathway in t-all cell lines and in the intracellular notch1 (icn1)-induced mouse model, either transcriptionally, promoting relb and p52 expression, or indirectly via ikk complex activation [xref_bibr].",pmc5618553,['nan'],['nan'],1,100,40,1,140
tcr,other,,,fplx,tcr,,,th,protein,,th,uniprot,p07101,,,positive,i,activation,,,,,,0.86,indra,"in th differentiation, stimulated by high tcr strength, multiple mechanisms suppress pten activity by lowering protein levels and enzymatic activity (xref_fig).",pmc4418530,['nan'],['nan'],1,100,40,1,140
notch1,protein,,notch1,uniprot,p46531,,,relb,protein,,relb,uniprot,q01201,,,positive,i,increaseamount,,,,,,0.65,indra,"notch1, which is mutated in half of t-all cases (see section 5.1), can activate nf-kappab pathway in t-all cell lines and in the intracellular notch1 (icn1)-induced mouse model, either transcriptionally, promoting relb and p52 expression, or indirectly via ikk complex activation [xref_bibr].",pmc5618553,['nan'],['nan'],1,100,40,1,140
itk,protein,,itk,uniprot,q08881,,,mtor,protein,,mtor,uniprot,p42345,,,negative,i,inhibition,,,,,,0.65,indra,the reduction in s6 phosphorylation in response to both tcr and il-2 in itk deficient cells suggested that itk deficiency more globally prevented effective activation of pi3k- and mtor mediated pathways.,pmc3949578,['nan'],['nan'],1,100,40,1,140
tcr,other,,,fplx,tcr,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,0.65,indra,"intriguingly, previous work has demonstrated that tcr signaling can down-regulate pten.",pmc3949578,['nan'],['nan'],1,100,40,1,140
kitlg,protein,,kitlg,uniprot,p21583,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"/ tal1 + cells in the absence of il7r/jak/stat signaling, differential expression analysis of scf stimulated versus -unstimulated pten del.",pmc5886055,['nan'],['nan'],1,100,40,1,140
itk,protein,,itk,uniprot,q08881,,,il2,protein,,il2,uniprot,p60568,,,positive,i,activation,,,,,,0.65,indra,"these results suggest that itk deficiency did not simply increase il-2 responses, but rather altered signaling in response to il-2, such that stat5 activation was uncoupled from mtor activation.",pmc3949578,['nan'],['nan'],1,100,40,1,140
itk,protein,,itk,uniprot,q08881,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.86,indra,"furthermore, treatment of itk deficient cd4 + cells with pten specific shrna reduced the generation of foxp3 + cells, supporting the idea that altered pten expression contributes to rather than results from the increased generation of foxp3 + cells.",pmc3949578,['nan'],['nan'],1,100,40,1,140
op9-dl1 culture,other,,,text,op9-dl1 culture,,,pten,protein,,pten,uniprot,p60484,,,negative,i,decreaseamount,,,,,,0.65,indra,34 cross talk has also been reported between notch signaling and p13k and akt in both human t-all cell lines and dn3 thymocytes on a op9-dl1 culture system in which notch represses pten expression.,pmc5886055,['nan'],['nan'],1,100,40,1,140
pten,protein,,pten,uniprot,p60484,,,mtor,protein,,mtor,uniprot,p42345,,,positive,d,increaseamount,,,,,,0.65,indra,we demonstrate that differential akt and mammalian target of rapamycin signaling regulates pten transcription via the foxo1 transcription factor.,pmc4418530,['nan'],['nan'],1,10,38,1,48
pten,protein,,pten,uniprot,p60484,,,pi3k,other,,,fplx,pi3k,,,negative,i,inhibition,,,,,,"0.65,0.65","indra,indra","thus, although these checkpoint inhibitors accelerate the growth of t cells with oncogenically sensitized tcr pathways, their pharmacological effects are only transient in contrast to the effect of t cell intrinsic pdcd1 gene deletion.we demonstrated above that the ligation of pd-1 enhances pten levels and attenuates pi3k/akt and pkcθ function after itk-syk signalling (see fig. 3f).,the tumor suppressor pten inhibits the pi3k pathway which alters isoforms of ikaros, and is one of the up-regulators of mir-26b in t-all (xref_fig).","pmc5821214,pmc5986278","['nan', 'nan']","['nan', 'nan']",2,1,40,1,42
il2,protein,,il2,uniprot,p60568,,,cell differentiation,bioprocess,,,go,go:0030154,,,negative,i,inhibition,,,,,,0.65,indra,"in contrast, although il-2 promotes expression of foxp3 via activation of stat5, il-2 and stat5 activation inhibit th17 cell differentiation.",pmc3949578,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,igg,other,,,text,igg,,,positive,i,activation,,,,,,0.65,indra,"pten fl/+ foxp3-cre mice displayed significantly elevated titers of circulating anti-ana antibodies (xref_fig) and augmented igg deposits in the kidney glomeruli (xref_fig), indicative of systemic autoimmunity.",pmc4297581,['nan'],['nan'],1,1,40,1,41
mtor,protein,,mtor,uniprot,p42345,,,cell cycle,bioprocess,,,go,go:0007049,,,positive,i,activation,,,,,,0.65,indra,"in a mouse model of t-all evoked by kras activation, raptor deficiency, an essential component of mammalian target of rapamycin complex 1 (mtorc1), dramatically inhibited the cell cycle progression in oncogenic kras expressing t-cell progenitors, and specifically prevented the development of t-all [xref_bibr].",pmc5618553,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,e2f8,protein,,e2f8,uniprot,a0avk6,,,negative,i,decreaseamount,,,,,,0.65,indra,"pten deletion alone upregulated expression of the transcription factors e2f1, e2f2 and e2f8, and their target genes, and was further increased by tal1 (xref_fig).",pmc5886055,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,foxo1,protein,,foxo1,uniprot,q12778,,,positive,i,increaseamount,,,,,,0.65,indra,39 exogenous pten expression led to increased expression of foxo1 in t-all cell lines with null endogenous pten (ccrf-cem and molt4).,pmc5986278,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,glycolytic process,bioprocess,,,go,go:0006096,,,positive,i,activation,,,,,,0.65,indra,"as compared with wt t reg cells, pten fl/fl foxp3-cre t reg cells more strongly upregulated glycolysis after tcr and cd28 stimulation (xref_fig).",pmc4297581,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,homeostatic process,bioprocess,,,go,go:0042592,,,positive,i,activation,,,,,,0.65,indra,"in particular, loss of pten in t reg cells results in exacerbated t fh and gc responses and disrupted immune tolerance and homeostasis.",pmc4297581,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,ik-dn isoform,other,,,text,ik-dn isoform,,,negative,i,decreaseamount,,,,,,0.65,indra,"expression of pten markedly decreased the levels of ik-dn isoform in ccrf-cem and molt4, two t-all cell lines that have no endogenous pten expression (xref_fig).",pmc5986278,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,ik,protein,,ik,uniprot,q13123,,,positive,i,increaseamount,,,,,,0.65,indra,"since pten expression elevates mir-26b expression, we hypothesized that pten expression differentially modulates the expression of ik-dp and ik-dn in t-all cells.",pmc5986278,['nan'],['nan'],1,1,40,1,41
mtor,protein,,mtor,uniprot,p42345,,,cell differentiation,bioprocess,,,go,go:0030154,,,negative,i,inhibition,,,,,,0.65,indra,"however, recent data implicates the transcription factor foxo1 in the induction of treg, and phosphorylation of foxo1 by akt was established as a mechanism by which akt and mtor signaling inhibits treg differentiation.",pmc4418530,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,ik-dn isoform,other,,,text,ik-dn isoform,,,positive,i,increaseamount,,,,,,0.65,indra,"however, knocking-down pten by shrnas increased the level of ik-dn isoform in the kopt-k1 cell line (xref_fig).",pmc5986278,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,itk-syk,other,,,text,itk-syk,,,negative,i,inhibition,,,,,,0.65,indra,the engagement of pd-1 increased pten protein levels and attenuated the akt and pkcθ activities in pre-malignant itk-syk expressing cells (fig. 3f).,pmc5821214,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,mir-26b,other,,,text,mir-26b,,,negative,i,decreaseamount,,,,,,0.65,indra,"in contrast, knocking-down pten in kopt-k1 cells by shrnas down-regulated mir-26b levels (xref_fig, p < 0.05).",pmc5986278,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,mir-26b,other,,,text,mir-26b,,,positive,i,increaseamount,,,,,,0.65,indra,"since pten expression elevates mir-26b expression, we hypothesized that pten expression differentially modulates the expression of ik-dp and ik-dn in t-all cells.",pmc5986278,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,mtorc2,bioprocess,,,mesh,d000076225,,,negative,i,inhibition,,,,,,0.65,indra,"further, pten deletion mainly upregulates mtorc2, not mtorc1 activity, in t reg cells.",pmc4297581,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,e2f2,protein,,e2f2,uniprot,q14209,,,negative,i,decreaseamount,,,,,,0.65,indra,"pten deletion alone upregulated expression of the transcription factors e2f1, e2f2 and e2f8, and their target genes, and was further increased by tal1 (xref_fig).",pmc5886055,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,e2f1,protein,,e2f1,uniprot,q01094,,,negative,i,decreaseamount,,,,,,0.65,indra,"pten deletion alone upregulated expression of the transcription factors e2f1, e2f2 and e2f8, and their target genes, and was further increased by tal1 (xref_fig).",pmc5886055,['nan'],['nan'],1,1,40,1,41
pik3cd,protein,,pik3cd,uniprot,o00329,,,mir-26b,other,,,text,mir-26b,,,positive,i,activation,,,,,,0.65,indra,these results suggest that pik3cd is a direct target of mir-26b.,pmc5986278,['nan'],['nan'],1,1,40,1,41
foxp3,protein,,foxp3,uniprot,q9bzs1,,,itk,protein,,itk,uniprot,q08881,,,positive,i,activation,,,,,,0.86,indra,"consistent with the increased foxp3 induction in itk -/- cells exposed to il-2, itk deficient cells showed increased il-2-induced pstat5 compared with wt cells (xref_fig, left).",pmc3949578,['nan'],['nan'],1,1,40,1,41
il2,protein,,il2,uniprot,p60568,,,cell differentiation,bioprocess,,rplp0,go,go:0030154,,,positive,i,activation,,,,,,0.65,indra,"although these data indicate an important role for tcr signaling in regulating cellular metabolism and the differentiation of t reg cells, cytokines, particularly il-2, are also important contributors to t reg cell differentiation.",pmc3949578,['nan'],['nan'],1,1,40,1,41
il2,protein,,il2,uniprot,p60568,,,itk,protein,,itk,uniprot,q08881,,,positive,i,activation,,,,,,0.65,indra,altered il-2 signaling in the absence of itk.,pmc3949578,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,mtorc2-akt,other,,,text,mtorc2-akt,,,positive,i,activation,,,,,,0.65,indra,"moreover, pten deficiency upregulates mtorc2-akt activity, and loss of this activity restores pten deficient t reg function.",pmc4297581,['nan'],['nan'],1,1,40,1,41
il2,protein,,il2,uniprot,p60568,,,metabolic process,bioprocess,,,go,go:0008152,,,positive,i,activation,,,,,,0.65,indra,"however, il-2 also activates pi3k mediated pathways and thus would be predicted to increase t cell activation and metabolism.",pmc3949578,['nan'],['nan'],1,1,40,1,41
il2,protein,,il2,uniprot,p60568,,,pi3k,other,,,fplx,pi3k,,,positive,i,activation,,,,,,0.65,indra,"however, il-2 also activates pi3k mediated pathways and thus would be predicted to increase t cell activation and metabolism.",pmc3949578,['nan'],['nan'],1,1,40,1,41
il2,protein,,il2,uniprot,p60568,,,pi3k/akt/mtor,other,,,text,pi3k/akt/mtor,,,positive,i,activation,,,,,,0.65,indra,"the pi3k/akt/mtor pathway in t cells is primarily activated by il-2, and htlv-1 tax oncoprotein makes this process il-2-independent, resulting in constitutive activation of akt in htlv-1-infected cells, leading to their immortalization.5, 49, 50 thus, inhibition of akt induces apoptosis in htlv-1-infected cells.6, 51 akt and s6k were not phosphorylated in the atl-43t cells, whereas akt was highly activated in the ed-40515 (-) cells, although neither of these cell lines expresses tax.",pmc5765289,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,akt,other,,,fplx,akt,,,positive,d,increaseamount,,,,,,0.86,indra,we demonstrate that differential akt and mammalian target of rapamycin signaling regulates pten transcription via the foxo1 transcription factor.,pmc4418530,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,akt,other,,,fplx,akt,,,positive,i,activation,,,,,,0.65,indra,"moreover, pten deficiency upregulates activity of the metabolic checkpoint kinase complex mtorc2 and the serine threonine kinase akt, and loss of this activity restores functioning of pten deficient treg cells.",pmc4297581,['nan'],['nan'],1,1,40,1,41
jak3,protein,,jak3,uniprot,p52333,,,neoplasm invasiveness,bioprocess,,,mesh,d009361,,,positive,i,activation,,,,,,0.65,indra,"moreover, ectopic expression of hh ligand in jak3 (m511l) mutant mouse model of t-all induces a growth advantage, higher infiltration rates, and thymic epithelial cell activation indicating a supportive role in leukemia development.",pmc5618553,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,akt,other,,pten,fplx,akt,,,negative,i,inhibition,,,,,,0.9419,indra,"although the lipid phosphatase phosphatase and tensin homolog (pten) suppresses akt activity, the control of pten activity is poorly studied in t cells.",pmc4418530,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,c-myc [,other,,,text,c-myc [,,,positive,i,activation,,,,,,0.65,indra,a further level of complexity is added by the findings that pten mrna can be targeted by mir-19 [xref_bibr] or c-myc [xref_bibr] and that notch1 likely regulates the dynamic exchanges of regulatory b subunits of protein phosphatase 2a (pp2a) leading to a decreased affinity of this phosphatase for critical targets such as phosphorylated akt [xref_bibr].,pmc5618553,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,cd4,protein,,cd4,uniprot,p01730,,,positive,i,activation,,,,,,0.65,indra,"by combining biochemical and computational modeling approaches, our work defines how differential regulation of pten can produce alternate cd4 + t cell fate outcomes.",pmc4418530,['nan'],['nan'],1,1,40,1,41
il2ra,protein,,il2ra,uniprot,p01589,,,cd4,protein,,cd4,uniprot,p01730,,,negative,i,inhibition,,,,,,0.65,indra,"similar results were obtained with cd25 depleted cd4 + t cells (xref_supplementary) to determine if pten activity regulated cd4 + t cell differentiation, activation assays were performed in the presence of a pten inhibitor.",pmc4418530,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,cell growth,bioprocess,,,go,go:0016049,,,negative,i,inhibition,,,,,,0.65,indra,"xref_fig e, over-expression of pten in snk-6 cells significantly inhibited cell growth compared with control group (p <.01).",pmc5521878,['nan'],['nan'],1,1,40,1,41
mtor,protein,,mtor,uniprot,p42345,,,translation,bioprocess,,,go,go:0006412,,,positive,i,activation,,,,,,0.65,indra,"there are several pharmacologic candidates capable of driving t cells toward the memory phenotype, such as those activating the wnt and beta-catenin pathway [xref_bibr] and inhibiting m-tor mediated protein translation [xref_bibr].",pmc5359873,['nan'],['nan'],1,1,40,1,41
mtor,protein,,mtor,uniprot,p42345,,,"transcription, dna-templated",bioprocess,,,go,go:0006351,,,positive,i,activation,,,,,,0.65,indra,"notably, cd4 + t cells deficient in hif1alpha, an mtor induced transcription factor that helps induce the expression of genes encoding glycolytic enzymes, preferentially differentiate into t reg cells rather than th17 cells, similar to our findings in itk deficient cells.",pmc3949578,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,cell population proliferation,bioprocess,,,go,go:0008283,,,positive,i,activation,,,,,,0.65,indra,"therefore, pten deficiency causes an increased t reg cellularity and proliferation.",pmc4297581,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,mtorc2,bioprocess,,,mesh,d000076225,,,positive,i,activation,,,,,,0.65,indra,"moreover, pten deficiency upregulates activity of the metabolic checkpoint kinase complex mtorc2 and the serine threonine kinase akt, and loss of this activity restores functioning of pten deficient treg cells.",pmc4297581,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,akt,other,,,fplx,akt,,,negative,i,inhibition,,,,,,0.923,indra,"mechanistically, pd-1 activity enhances pten levels and attenuates akt and pkc signalling in pre-malignant cells.",pmc5821214,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,myc,protein,,myc,uniprot,p01106,,,negative,i,decreaseamount,,,,,,0.65,indra,"similarly, myc expression is also repressed by increased pten, providing another level of systems amplification.",pmc3949578,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,pi3k,other,,eif4ebp1,fplx,pi3k,,,negative,i,inhibition,,,,,,0.65,indra,"as a pluripotent molecule, pten antagonizes pi3k activity and thus inhibits both mtorc1 and mtorc2 activities 20; pten also possesses nuclear functions independent of pi3k-akt activity 29.",pmc4297581,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,pi3k,other,,,fplx,pi3k,,,positive,i,activation,,,,,,0.65,indra,"however, we show here that impaired tcr signaling via loss of itk also leads to a negative feedback loop in which defective repression of pten prevents downstream activation of pi3k- and mtor mediated pathways not just from the tcr, but from multiple cellular inputs.",pmc3949578,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,pkc,bioprocess,,,mesh,d011493,,,negative,i,inhibition,,,,,,0.65,indra,"mechanistically, pd-1 activity enhances pten levels and attenuates akt and pkc signalling in pre-malignant cells.",pmc5821214,['nan'],['nan'],1,1,40,1,41
