Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
autophagy,bioprocess,,,go,go:0006914,,,ampk,protein,,,be,ampk,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc5723691,pmc5723691,pmc5723691",3,100,40,1,340
u0126,simplechemical,,,pubchem,3006531,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc4440819,pmc5372348,pmc5372348",3,100,40,1,340
rdm1,protein,,,uniprot,q8ng50,,,raf,family,,,be,raf,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc6396142,pmc6396142,pmc6396142",3,100,40,1,340
pd0325901,simplechemical,,,pubchem,9826528,,,ampk,protein,,,be,ampk,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc5723691,pmc5723691,pmc5723691",3,100,40,1,340
tgf-β1,protein,,,uaz,uaz02902,,,mek,family,,,be,mek,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4440819,pmc4440819",2,100,40,1,240
fgf2,protein,,,uniprot,p09038,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4440819,pmc4440819",2,100,40,1,240
guanine,simplechemical,,,pubchem,764,,,mapk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5537703,pmc5537703",2,100,40,1,240
pd0325901,simplechemical,,,pubchem,9826528,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5723691,pmc5723691",2,100,40,1,240
sirt1,protein,,,uniprot,q96eb6,,,mapk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5372348,pmc5372348",2,100,40,1,240
gabpa,protein,,,uniprot,q06546,,,tert,protein,,,uniprot,o14746,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5288173,pmc5288173",2,100,40,1,240
cisplatin,simplechemical,,,pubchem,441203,,,mapk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5537703,pmc5537703",2,100,40,1,240
ptprs,protein,,,uniprot,q13332,,,akt,family,,,be,akt,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc6006154,pmc6006154",2,100,40,1,240
da-raf,protein,,,uaz,uaz12716,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4440819,pmc4440819",2,100,40,1,240
encorafenib,protein,,,uaz,uaz13263,,,braf,protein,,,uniprot,p15056,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc6472057,pmc6472057",2,100,40,1,240
"egfr
        
          epidermal growth factor receptor",protein,,,uaz,uaz12897,,,mapk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5467491,pmc5467491",2,100,40,1,240
e3 ubiquitin ligase,family,,,pfam,pf12483,,,p53,protein,,,uniprot,p04637,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5537703,pmc5537703",2,100,40,1,240
crebbp,protein,,,uniprot,q92793,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5395114,pmc5395114",2,100,40,1,240
sfl1,protein,,,uniprot,p20134,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4618523,pmc4618523",2,100,40,1,240
pbx3,protein,,,uniprot,p40426,,,mapk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5609034,pmc5609034",2,100,40,1,240
ppar,protein,,,uniprot,q07869,,,mapk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5190119,pmc5190119",2,100,40,1,240
oa,simplechemical,,,pubchem,4628,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5467491,pmc5467491",2,100,40,1,240
nras,protein,,,uniprot,p01111,,,kras,protein,,,uniprot,p01116,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4695180,pmc4695180",2,100,40,1,240
mek inhibitor,simplechemical,,,uaz,uaz00032,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5467491,pmc5467491",2,100,40,1,240
mm-151,protein,,,uaz,uaz12741,,,kras,protein,,,uniprot,p01116,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4695180,pmc4695180",2,100,40,1,240
mm-327,protein,,,uaz,uaz12749,,,kras,protein,,,uniprot,p01116,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4695180,pmc4695180",2,100,40,1,240
map4k4,protein,,,uniprot,o95819,,,p38,family,,,be,p38,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5467491,pmc5467491",2,100,40,1,240
map4k4,protein,,,uniprot,o95819,,,mek,family,,,be,mek,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5467491,pmc5467491",2,100,40,1,240
map4k4,protein,,,uniprot,o95819,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5467491,pmc5467491",2,100,40,1,240
map4k4,protein,,,uniprot,o95819,,,egf,protein,,,uniprot,p01133,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5467491,pmc5467491",2,100,40,1,240
rdm1,protein,,,uniprot,q8ng50,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc6396142,pmc6396142",2,100,40,1,240
letrozole,simplechemical,,,pubchem,3902,,,mapk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5958651,pmc5958651",2,100,40,1,240
ksr,protein,,,uniprot,q8ivt5,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4020307,pmc4020307",2,100,40,1,240
neurofibromin,protein,,,uniprot,p21359,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc6194127,pmc6194127",2,100,40,1,240
ksr,protein,,,uniprot,q8ivt5,,,mapk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4020307,pmc4020307",2,100,40,1,240
rgz,protein,,,uaz,uaz13401,,,mapk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5190119,pmc5190119",2,100,40,1,240
nf1,protein,,,uniprot,p21359,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4846800,pmc4846800",2,100,40,1,240
jip1,protein,,,uniprot,q9uqf2,,,jnk,family,,,be,jnk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5636874,pmc5636874",2,100,40,1,240
nm23,protein,,,uniprot,p15531,,,rac1,protein,,,uniprot,p63000,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4020307,pmc4020307",2,100,40,1,240
nm23-h1,protein,,,uniprot,p15531,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4020307,pmc4020307",2,100,40,1,240
pd0325901,simplechemical,,,pubchem,9826528,,,mek,family,,,be,mek,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5723691,pmc5723691",2,100,40,1,240
sb203580,simplechemical,,,pubchem,176155,,,p38mapk,family,,,be,p38,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5372348,pmc5372348",2,100,40,1,240
sa,simplechemical,,,pubchem,7009579,,,p38 mapk,family,,,be,p38,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4783893,pmc4783893",2,100,40,1,240
fgf2,protein,,,uniprot,p09038,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4440819,pmc4440819",2,100,40,1,240
ppar,protein,,,uniprot,q07869,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5190119,pmc5190119",2,100,40,1,240
pp2a inhibitor,simplechemical,,,uaz,uaz12906,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5467491,pmc5467491",2,100,40,1,240
ppar,protein,,,uniprot,q07869,,,jnk,family,,,be,jnk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5190119,pmc5190119",2,100,40,1,240
bet,protein,,,uniprot,q8nft8,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5908790,pmc5908790",2,100,40,1,240
gnaq,protein,,,uniprot,p50148,,,mapk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc4179759,1,100,40,1,140
selumetinib,simplechemical,,,pubchem,10127622,,,mek,family,,,be,mek,,,positive,i,,,,,,,nan,nan,nan,pmc4179759,1,100,40,1,140
geranylgeranyltransferase,protein,,,uaz,uaz12675,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,nan,nan,nan,pmc4067595,1,100,40,1,140
sirt1,protein,,,uniprot,q96eb6,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc5372348,1,100,40,1,140
gm,simplechemical,,,pubchem,188959,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc5824365,1,100,40,1,140
gna11,protein,,,uniprot,p29992,,,mapk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc4179759,1,100,40,1,140
gsk525762,protein,,,uaz,uaz13465,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc5908790,1,100,40,1,140
ptprs,protein,,,uniprot,q13332,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc6006154,1,100,40,1,140
gsk525762,protein,,,uaz,uaz13465,,,mek,family,,,be,mek,,,negative,i,,,,,,,nan,nan,nan,pmc5908790,1,100,40,1,140
gtpase activating proteins,protein,,,uaz,uaz12558,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,nan,nan,nan,pmc4067595,1,100,40,1,140
h-ras mutants,protein,,,uaz,uaz12608,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,nan,nan,nan,pmc3843736,1,100,40,1,140
siah,protein,,,uaz,uaz13439,,,egfr,protein,,,uniprot,p00533,,,positive,i,,,,,,,nan,nan,nan,pmc5049993,1,100,40,1,140
hdac inhibitor,simplechemical,,,uaz,uaz03103,,,ki-ras,protein,,,uniprot,p01116,,,positive,i,,,,,,,nan,nan,nan,pmc5723691,1,100,40,1,140
selumetinib,simplechemical,,,pubchem,10127622,,,mapk,family,,,be,erk,,,positive,i,,,,,,,nan,nan,nan,pmc4179759,1,100,40,1,140
gef,protein,,,uniprot,q9nr83,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,nan,nan,nan,pmc4440819,1,100,40,1,140
nst,protein,,,uniprot,q9br01,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,nan,nan,nan,pmc5049993,1,100,40,1,140
selumetinib,simplechemical,,,pubchem,10127622,,,braf,protein,,,uniprot,p15056,,,negative,i,,,,,,,nan,nan,nan,pmc4179759,1,100,40,1,140
hdac inhibitors,simplechemical,,,uaz,uaz03116,,,p53,protein,,,uniprot,p04637,,,positive,i,,,,,,,nan,nan,nan,pmc5723691,1,100,40,1,140
nras,protein,,,uniprot,p01111,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,nan,nan,nan,pmc5069826,1,100,40,1,140
hepatocyte growth factor,protein,,,uniprot,p14210,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc4440819,1,100,40,1,140
az628,protein,,,uaz,uaz00070,,,mapk,family,,,be,erk,,,positive,i,,,,,,,nan,nan,nan,pmc6472057,1,100,40,1,140
scf,protein,,,uniprot,p21583,,,mapk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc5958651,1,100,40,1,140
np,protein,,,uniprot,o60259,,,mapk1,protein,,,uniprot,p28482,,,positive,i,,,,,,,nan,nan,nan,pmc5312311,1,100,40,1,140
i-bet151,simplechemical,,,pubchem,52912189,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,nan,nan,nan,pmc5908790,1,100,40,1,140
ier3,protein,,,uniprot,p46695,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc2911390,1,100,40,1,140
sirt1,protein,,,uniprot,q96eb6,,,erk,family,,,be,erk,,,positive,i,,,,,,,nan,nan,nan,pmc5372348,1,100,40,1,140
ptprs,protein,,,uniprot,q13332,,,egfr,protein,,,uniprot,p00533,,,negative,i,,,,,,,nan,nan,nan,pmc6006154,1,100,40,1,140
il-1,family,,,pfam,pf00340,,,jnk,family,,,be,jnk,,,negative,i,,,,,,,nan,nan,nan,pmc5372348,1,100,40,1,140
fak,protein,,,uniprot,q05397,,,map,protein,,,uniprot,p12872,,,negative,i,,,,,,,nan,nan,nan,pmc5432316,1,100,40,1,140
sp600125,simplechemical,,,pubchem,8515,,,jnk,family,,,be,jnk,,,positive,i,,,,,,,nan,nan,nan,pmc5372348,1,100,40,1,140
erk inhibitor,simplechemical,,,uaz,uaz00224,,,ampk,protein,,,be,ampk,,,positive,i,,,,,,,nan,nan,nan,pmc5723691,1,100,40,1,140
sos,family,,,be,sos,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,nan,nan,nan,pmc6356706,1,100,40,1,140
erk inhibitor,simplechemical,,,uaz,uaz00224,,,mapk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc5190119,1,100,40,1,140
erk1/2,family,,,be,erk,,,braf,protein,,,uniprot,p15056,,,positive,i,,,,,,,nan,nan,nan,pmc4179759,1,100,40,1,140
sos,family,,,be,sos,,,mapk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc3498325,1,100,40,1,140
erk1/2,family,,,be,erk,,,kras,protein,,,uniprot,p01116,,,positive,i,,,,,,,nan,nan,nan,pmc4179759,1,100,40,1,140
page4,protein,,,uniprot,o60829,,,ar,protein,,,uniprot,p10275,,,positive,i,,,,,,,nan,nan,nan,pmc6339303,1,100,40,1,140
sodium,simplechemical,,,pubchem,923,,,ki-ras,protein,,,uniprot,p01116,,,negative,i,,,,,,,nan,nan,nan,pmc5723691,1,100,40,1,140
p600125,protein,,,uaz,uaz12921,,,jnk,family,,,be,jnk,,,positive,i,,,,,,,nan,nan,nan,pmc5372348,1,100,40,1,140
ets1,protein,,,uniprot,p14921,,,tert,protein,,,uniprot,o14746,,,negative,i,,,,,,,nan,nan,nan,pmc5288173,1,100,40,1,140
fak,protein,,,uniprot,q05397,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,nan,nan,nan,pmc5432316,1,100,40,1,140
sirt1,protein,,,uniprot,q96eb6,,,jnk,family,,,be,jnk,,,positive,i,,,,,,,nan,nan,nan,pmc5372348,1,100,40,1,140
fgf1,protein,,,uniprot,p05230,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc4440819,1,100,40,1,140
fgf2,protein,,,uniprot,p09038,,,pi3k,protein,,,be,pi3k,,,negative,i,,,,,,,nan,nan,nan,pmc4440819,1,100,40,1,140
smad7,protein,,,uniprot,o15105,,,smad,family,,,be,smad,,,positive,i,,,,,,,nan,nan,nan,pmc4440819,1,100,40,1,140
fibroblast growth factor 2,protein,,,uniprot,p09038,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc4440819,1,100,40,1,140
fos,family,,,be,fos_family,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc2911390,1,100,40,1,140
foxo3,protein,,,uniprot,o43524,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,nan,nan,nan,pmc5755028,1,100,40,1,140
piggybac,protein,,,uaz,uaz08961,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,nan,nan,nan,pmc5755028,1,100,40,1,140
plx4032,protein,,,uaz,uaz00175,,,braf,protein,,,uniprot,p15056,,,positive,i,,,,,,,nan,nan,nan,pmc6472057,1,100,40,1,140
ptprs,protein,,,uniprot,q13332,,,braf,protein,,,uniprot,p15056,,,negative,i,,,,,,,nan,nan,nan,pmc6006154,1,100,40,1,140
sirt1,protein,,,uniprot,q96eb6,,,p38mapk,family,,,be,p38,,,positive,i,,,,,,,nan,nan,nan,pmc5372348,1,100,40,1,140
gc1q ligand,protein,,,uaz,uaz12886,,,integrin,protein,,,uniprot,p08648,,,negative,i,,,,,,,nan,nan,nan,pmc5432316,1,100,40,1,140
sb203580,simplechemical,,,pubchem,176155,,,jnk,family,,,be,jnk,,,positive,i,,,,,,,nan,nan,nan,pmc5372348,1,100,40,1,140
sb202190,simplechemical,,,pubchem,5353940,,,c-raf,protein,,,uniprot,p04049,,,negative,i,,,,,,,nan,nan,nan,pmc4783893,1,100,40,1,140
il-1,family,,,pfam,pf00340,,,p38mapk,family,,,be,p38,,,negative,i,,,,,,,nan,nan,nan,pmc5372348,1,100,40,1,140
afatinib,simplechemical,,,pubchem,10184653,,,egfr,protein,,,uniprot,p00533,,,positive,i,,,,,,,nan,nan,nan,pmc5127645,1,100,40,1,140
raf265,protein,,,uaz,uaz00112,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc6472057,1,100,40,1,140
raf265,protein,,,uaz,uaz00112,,,raf,family,,,be,raf,,,negative,i,,,,,,,nan,nan,nan,pmc6472057,1,100,40,1,140
ppar,protein,,,uniprot,q07869,,,jnk,family,,,be,jnk,,,negative,i,,,,,,,nan,nan,nan,pmc5190119,1,100,40,1,140
akt inhibitors,simplechemical,,,uaz,uaz00097,,,bcl-2,family,,,uniprot,p10415,,,positive,i,,,,,,,nan,nan,nan,pmc4067595,1,100,40,1,140
myd88,protein,,,uniprot,q99836,,,mapk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc5190119,1,100,40,1,140
mts-stat3-s/d,protein,,,uaz,uaz12585,,,pi3k,protein,,,be,pi3k,,,negative,i,,,,,,,nan,nan,nan,pmc3843736,1,100,40,1,140
rdm1,protein,,,uniprot,q8ng50,,,mek,family,,,be,mek,,,negative,i,,,,,,,nan,nan,nan,pmc6396142,1,100,40,1,140
rdm1,protein,,,uniprot,q8ng50,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc6396142,1,100,40,1,140
mapkapk-2,protein,,,uniprot,p49137,,,p38 mapk,family,,,be,p38,,,negative,i,,,,,,,nan,nan,nan,pmc4783893,1,100,40,1,140
rapamycin,simplechemical,,,pubchem,5284616,,,mtorc1,protein,,,be,mtorc1,,,positive,i,,,,,,,nan,nan,nan,pmc5723691,1,100,40,1,140
afatinib,simplechemical,,,pubchem,10184653,,,her2,protein,,,uniprot,p04626,,,positive,i,,,,,,,nan,nan,nan,pmc5127645,1,100,40,1,140
ras/raf/mek/erk,protein,,,uaz,uaz00068,,,ifn,family,,,be,interferon,,,positive,i,,,,,,,nan,nan,nan,pmc4535867,1,100,40,1,140
ppar,protein,,,uniprot,q07869,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc5190119,1,100,40,1,140
ras-erk,protein,,,uaz,uaz09690,,,mtorc1,protein,,,be,mtorc1,,,negative,i,,,,,,,nan,nan,nan,pmc5723691,1,100,40,1,140
mir-382-5p,protein,,,uaz,uaz12803,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,nan,nan,nan,pmc5410235,1,100,40,1,140
mek inhibitors,simplechemical,,,uaz,uaz00058,,,mapk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc4179759,1,100,40,1,140
mir-382-5p,protein,,,uaz,uaz12803,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,nan,nan,nan,pmc5410235,1,100,40,1,140
mir-181a,protein,,,uaz,uaz11673,,,bcl2,protein,,,uniprot,p10415,,,positive,i,,,,,,,nan,nan,nan,pmc5312311,1,100,40,1,140
mir-181a,protein,,,uaz,uaz11673,,,kras,protein,,,uniprot,p01116,,,positive,i,,,,,,,nan,nan,nan,pmc5312311,1,100,40,1,140
mir-181a,protein,,,uaz,uaz11673,,,mapk1,protein,,,uniprot,p28482,,,positive,i,,,,,,,nan,nan,nan,pmc5312311,1,100,40,1,140
mir-181a,protein,,,uaz,uaz11673,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,nan,nan,nan,pmc5312311,1,100,40,1,140
mir-320,protein,,,uaz,uaz12995,,,mapk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc5609034,1,100,40,1,140
mir-320,protein,,,uaz,uaz12995,,,mapk,family,,,be,erk,,,positive,i,,,,,,,nan,nan,nan,pmc5609034,1,100,40,1,140
mir-382-5p,protein,,,uaz,uaz12803,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc5410235,1,100,40,1,140
ncoa3,protein,,,uniprot,q9y6q9,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,nan,nan,nan,pmc5755028,1,100,40,1,140
ndpks,protein,,,uaz,uaz12654,,,erk,family,,,be,erk,,,positive,i,,,,,,,nan,nan,nan,pmc4020307,1,100,40,1,140
ptprs,protein,,,uniprot,q13332,,,akt,family,,,be,akt,,,negative,i,,,,,,,nan,nan,nan,pmc6006154,1,100,40,1,140
jip1-phosphatase,protein,,,uaz,uaz13059,,,jnk,family,,,be,jnk,,,negative,i,,,,,,,nan,nan,nan,pmc5636874,1,100,40,1,140
np,protein,,,uniprot,o60259,,,kras,protein,,,uniprot,p01116,,,positive,i,,,,,,,nan,nan,nan,pmc5312311,1,100,40,1,140
il-1β,protein,,,uaz,uaz00382,,,mapk,family,,,be,erk,,,positive,i,,,,,,,nan,nan,nan,pmc5372348,1,100,40,1,140
nm23-h2,protein,,,uniprot,p22392,,,erk,family,,,be,erk,,,positive,i,,,,,,,nan,nan,nan,pmc4020307,1,100,40,1,140
sa,simplechemical,,,pubchem,7009579,,,caspase-7,protein,,,uniprot,p55210,,,negative,i,,,,,,,nan,nan,nan,pmc4783893,1,100,40,1,140
nm23-h1,protein,,,uniprot,p15531,,,mapk,family,,,be,erk,,,positive,i,,,,,,,nan,nan,nan,pmc4020307,1,100,40,1,140
nm23-h1,protein,,,uniprot,p15531,,,erk,family,,,be,erk,,,positive,i,,,,,,,nan,nan,nan,pmc4020307,1,100,40,1,140
ptprs,protein,,,uniprot,q13332,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,nan,nan,nan,pmc6006154,1,100,40,1,140
rtks,protein,,,uaz,uaz00105,,,mek,family,,,be,mek,,,negative,i,,,,,,,nan,nan,nan,pmc5908790,1,100,40,1,140
ptps,protein,,,uniprot,q03393,,,erk,family,,,be,erk,,,positive,i,,,,,,,nan,nan,nan,pmc6006154,1,100,40,1,140
rtks,protein,,,uaz,uaz00105,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc5908790,1,100,40,1,140
jip1,protein,,,uniprot,q9uqf2,,,tnf,protein,,,uniprot,p01375,,,negative,i,,,,,,,nan,nan,nan,pmc5636874,1,100,40,1,140
ko,simplechemical,,,pubchem,25113109,,,egfr,protein,,,uniprot,p00533,,,negative,i,,,,,,,nan,nan,nan,pmc6006154,1,100,40,1,140
ndpks,protein,,,uaz,uaz12654,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,nan,nan,nan,pmc4020307,1,100,40,1,140
apoptosis,bioprocess,,,go,go:0006915,,,p38,family,,,be,p38,,,positive,i,,,,,,,nan,nan,nan,pmc5190119,1,100,40,1,140
