Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Database Source,Database ID,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
cd4,protein,,cd4,uniprot,p01730,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,positive,i,increaseamount,,,,,,0.65,indra,"to explore the functional relevance of a hyperactivated pi3k-akt pathway on t reg cell generation and maintenance, we first used an in vitro system wherein the activation of cd4 + cd25 - cells in the presence of tgf-beta and il-2 induces de novo expression of foxp3.",pmc2275380,['nan'],['nan'],1,100,40,1,140
hil-2,protein,,,uniprot,p15796,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,positive,i,activation,,,,,,0.65,indra,"to up-regulate cd25, naive cd4 + t cells were differentiated under neutral conditions without tgf-beta, conditions under which we did not observe increased development of foxp3 + it reg cells, and then washed and treated with hil-2.",pmc3949578,['nan'],['nan'],1,100,40,1,140
cd4,protein,,cd4,uniprot,p01730,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.65,indra,"furthermore, treatment of itk deficient cd4 + cells with pten specific shrna reduced the generation of foxp3 + cells, supporting the idea that altered pten expression contributes to rather than results from the increased generation of foxp3 + cells.",pmc3949578,['nan'],['nan'],1,100,40,1,140
ras,family,,,pfam,pf00071,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,0.65,indra,"for example, ras has been found to mediate the suppression of pten through a tgf-beta dependent mechanism in pancreatic cancer [xref_bibr], and the mitogen associated protein kinase and extracellular signal related kinase pathway has been found to suppress pten transcription through c-jun [xref_bibr].",pmc4712330,['nan'],['nan'],1,100,40,1,140
mhc,protein,,,uniprot,p05661,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.65,indra,c7 t cells responding to mcc (xref_fig) but does not exclude the possibility that there are doses of mcc at which foxp3 induction could be more efficiently enhanced by mhc blockade.,pmc2916126,['nan'],['nan'],1,100,40,1,140
gamma/delta inhibitor cal-130,other,,,text,gamma/delta inhibitor cal-130,,,pik3cg,protein,,pik3cg,uniprot,p48736,,,positive,i,activation,,,,,,0.65,indra,"furthermore, it has been proposed that the dual gamma and delta inhibitor cal-130, specifically targeting p110gamma and p110delta isoforms in pten deleted t-all cell lines [xref_bibr].",pmc4712330,['nan'],['nan'],1,100,40,1,140
gamma/delta inhibitor cal-130,other,,,text,gamma/delta inhibitor cal-130,,,pik3cd,protein,,pik3cd,uniprot,o00329,,,positive,i,activation,,,,,,0.65,indra,"furthermore, it has been proposed that the dual gamma and delta inhibitor cal-130, specifically targeting p110gamma and p110delta isoforms in pten deleted t-all cell lines [xref_bibr].",pmc4712330,['nan'],['nan'],1,100,40,1,140
caspase,family,,,pfam,pf00656,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,0.65,indra,"pan caspase inhibition with the inhibitor zvad blocked degradation of pten under treg conditions (xref_fig), demonstrating that caspase mediated degradation of pten occurs during cd4 + t cell activation.",pmc4418530,['nan'],['nan'],1,100,40,1,140
caspase,family,,,pfam,pf00656,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"pan caspase inhibition with the inhibitor zvad blocked degradation of pten under treg conditions (xref_fig), demonstrating that caspase mediated degradation of pten occurs during cd4 + t cell activation.",pmc4418530,['nan'],['nan'],1,100,40,1,140
rosiglitazone,simplechemical,,,chebi,chebi:50122,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"the activation of its selective ligand, rosiglitazone, leads to the binding of ppargamma at two pten promoter sites, ppar response element 1 and ppar response element 2, thus upregulating pten and inhibiting pi3k activity.",pmc4712330,['nan'],['nan'],1,100,40,1,140
pak1,protein,,pak1,uniprot,q13153,,,mtor,protein,,mtor,uniprot,p42345,,,positive,i,activation,,,,,,0.65,indra,we questioned whether this mtor effect could be mediated by changes in pak1 stability.,pmc4487994,['nan'],['nan'],1,100,40,1,140
tcr,other,,,fplx,tcr,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,0.65,indra,"intriguingly, previous work has demonstrated that tcr signaling can down-regulate pten.",pmc3949578,['nan'],['nan'],1,100,40,1,140
tgfb,bioprocess,,,mesh,d016212,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.65,indra,retrovirus mediated expression of akt * significantly impaired the induction of foxp3 by tgf-beta (xref_fig; a summary of several independent experiments is shown in xref_fig).,pmc2275380,['nan'],['nan'],1,100,40,1,140
ube2k,protein,,ube2k,uniprot,p61086,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"one recently identified e3 ligase of pten is neural precursor cell expressed, developmentally down-regulated 4, e3 ubiquitin protein ligase 1 (nedd4-1), which mediates pten mono- and poly-ubiquitination [xref_bibr].",pmc4712330,['nan'],['nan'],1,100,40,1,140
ec 2.7.1.127 (inositol-trisphosphate 3-kinase) inhibitor,simplechemical,,,chebi,chebi:84801,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.65,indra,"the presence of the pi3k inhibitor ly2940002 in t reg cell cultures enhanced the production of foxp3 by wt cd4 + t cells in the presence of anti-cd3 plus anti-cd28, increasing the expression from 16.4 to 32.2% (xref_fig); higher concentrations of the pi3k inhibitor were toxic for the cells (not depicted).",pmc3949578,['nan'],['nan'],1,100,40,1,140
tp53,protein,,tp53,uniprot,p04637,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,0.65,indra,high p53 expression triggers proteasome degradation of the pten protein [xref_bibr].,pmc4712330,['nan'],['nan'],1,100,40,1,140
itk,protein,,itk,uniprot,q08881,,,mtor,protein,,mtor,uniprot,p42345,,,negative,i,inhibition,,,,,,0.65,indra,the reduction in s6 phosphorylation in response to both tcr and il-2 in itk deficient cells suggested that itk deficiency more globally prevented effective activation of pi3k- and mtor mediated pathways.,pmc3949578,['nan'],['nan'],1,100,40,1,140
itk,protein,,itk,uniprot,q08881,,,il2,protein,,il2,uniprot,p60568,,,positive,i,activation,,,,,,0.65,indra,"these results suggest that itk deficiency did not simply increase il-2 responses, but rather altered signaling in response to il-2, such that stat5 activation was uncoupled from mtor activation.",pmc3949578,['nan'],['nan'],1,100,40,1,140
pi3k inhibitors,other,,,text,pi3k inhibitors,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"in addition to pi3k pan-inhibition, several isoform selective pi3k inhibitors have been shown to repress the viability of pten deficient tumors.",pmc4712330,['nan'],['nan'],1,100,40,1,140
tgfb,bioprocess,,,mesh,d016212,,,pten,protein,,pten,uniprot,p60484,,,positive,i,increaseamount,,,,,,0.86,indra,"negative regulators of pten gene expression include mitogen activated protein kinase kinase-4, transforming growth factor beta (tgf-beta), nuclear factor of kappa light polypeptide gene enhancer in b-cells (nf-kappab), igf-1, the transcriptional cofactor c-jun proto-oncogene, and the b-cell-specific moloney murine leukemia virus insertion site 1 (bmi1) proto-oncogene, which have been shown to suppress pten expression in several cancer models [xref_bibr - xref_bibr].",pmc4712330,['nan'],['nan'],1,100,40,1,140
pi3k,other,,,fplx,pi3k,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,0.65,indra,"given these findings, the combination of pi3k pathway inhibitors with bcr pathway inhibitors may enhance the treatment response of pten deficient tumors.",pmc4712330,['nan'],['nan'],1,100,40,1,140
tgfb,bioprocess,,,mesh,d016212,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,positive,i,activation,,,,,,0.86,indra,akt * impairs de novo foxp3 induction by tgf-beta.,pmc2275380,['nan'],['nan'],1,100,40,1,140
tgfb,bioprocess,,,mesh,d016212,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,positive,i,increaseamount,,,,,,0.65,indra,"in addition, in vitro activation of peripheral cd4 + cd25 - t cells in the presence of tgf-beta and il-2 induces foxp3 expression and conversion to t reg cells in various model systems.",pmc2275380,['nan'],['nan'],1,100,40,1,140
extracellular signal-related kinase,other,,,text,extracellular signal-related kinase,,,pten,protein,,pten,uniprot,p60484,,,negative,i,decreaseamount,,,,,,0.65,indra,"for example, ras has been found to mediate the suppression of pten through a tgf-beta dependent mechanism in pancreatic cancer [xref_bibr], and the mitogen associated protein kinase and extracellular signal related kinase pathway has been found to suppress pten transcription through c-jun [xref_bibr].",pmc4712330,['nan'],['nan'],1,100,40,1,140
stress kinase,other,,,text,stress kinase,,,pten,protein,,pten,uniprot,p60484,,,negative,i,decreaseamount,,,,,,0.65,indra,"finally, the stress kinase pathways including mitogen activated protein kinase kinase kinase 4 and jnk promote resistance to apoptosis by suppressing pten transcription via direct binding of nf-kappab to the pten promoter [xref_bibr].",pmc4712330,['nan'],['nan'],1,100,40,1,140
akt,other,,,fplx,akt,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.923,indra,"as we showed in xref_fig, the ability of akt * to block foxp3 induction was dependent on its kinase activity.",pmc2275380,['nan'],['nan'],1,100,40,1,140
akt,other,,,fplx,akt,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,positive,d,increaseamount,,,,,,0.65,indra,"the repression of foxp3 expression by akt * required its kinase activity and was partly counteracted by rapamycin treatment, adding a potential element to its mechanism of action and placing mtor as a downstream target of akt.",pmc2275380,['nan'],['nan'],1,100,40,1,140
stat5,other,,,fplx,stat5,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,positive,i,increaseamount,,,,,,0.65,indra,"furthermore, although il-2 and the downstream activation of stat5 are required to induce the expression of foxp3 by t reg cells, il-2 can interfere with the differentiation of th17 cells through the activation of stat5.",pmc3949578,['nan'],['nan'],1,100,40,1,140
tcr,other,,,fplx,tcr,,,th,protein,,th,uniprot,p07101,,,positive,i,activation,,,,,,0.86,indra,"in th differentiation, stimulated by high tcr strength, multiple mechanisms suppress pten activity by lowering protein levels and enzymatic activity (xref_fig).",pmc4418530,['nan'],['nan'],1,100,40,1,140
pdcd1,protein,,pdcd1,uniprot,q15116,,,il2,protein,,il2,uniprot,p60568,,,positive,i,activation,,,,,,0.65,indra,consistent with this are previous observations that (i) the pd-1 and pd-l1 pathway negatively regulates treg cell proliferation by inhibiting the il-2 signalling cascade [xref_bibr] and (ii) exogenous il-2 can overcome pd-1 and pd-l1-mediated inhibition of proliferation [xref_bibr].,pmc4669187,['nan'],['nan'],1,100,40,1,140
akt,other,,,fplx,akt,,,mtor,protein,,mtor,uniprot,p42345,,,positive,i,activation,,,,,,0.65,indra,"although a large body of evidence demonstrates that akt activates mtor in numerous cell types [xref_bibr], finlay et al. have shown that mtor can also be regulated by pdk1 (and not akt) in cd8 + t cells [xref_bibr].",pmc4487994,['nan'],['nan'],1,100,40,1,140
pi3k,other,,,fplx,pi3k,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,this suggests that pik3ca mutation likely functions as an oncogene in dlbcl by contributing to pi3k pathway activation independently of pten deficiency.,pmc4712330,['nan'],['nan'],1,100,40,1,140
pten,protein,,pten,uniprot,p60484,,,pi3k,other,,,fplx,pi3k,,,positive,i,activation,,,,,,"0.65,0.65","indra,indra","thus, put another way, negative regulation of pi3k signaling by pten enforces the requirement for co-stimulation in naive t cells.,however, we show here that impaired tcr signaling via loss of itk also leads to a negative feedback loop in which defective repression of pten prevents downstream activation of pi3k- and mtor mediated pathways not just from the tcr, but from multiple cellular inputs.","pmc3375464,pmc3949578","['nan', 'nan']","['nan', 'nan']",2,1,40,1,42
pten,protein,,pten,uniprot,p60484,,,akt,other,,,fplx,akt,,,negative,i,inhibition,,,,,,0.65,indra,"the authors found no phosphatidyl inositol 3-kinase catalytic subunit (pik3ca) mutations in the primary specimens or cell lines, suggesting that loss of pten activates the pi3k and akt pathway in mcl.",pmc4712330,['nan'],['nan'],1,1,40,1,41
cd28,protein,,cd28,uniprot,p10747,,,pi3k,other,,,fplx,pi3k,,,positive,i,activation,,,,,,0.65,indra,"pi3k is activated by tcr and cd28 signaling and is involved in cell cycle progression, cell survival, proliferation, and regulation of cell trafficking, in part through the activation of pi (3,4,5) p 3 -binding pleckstrin homology (ph) domain containing proteins.",pmc3949578,['nan'],['nan'],1,1,40,1,41
pik3cg,protein,,pik3cg,uniprot,p48736,,,phosphatidylinositol phosphate,simplechemical,,,chebi,chebi:28765,,,negative,i,inhibition,,,,,,0.65,indra,"moreover, pip 3 decreased in a concentration dependent fashion in loucy cells treated with the dual p110gamma and delta inhibitor ipi-145 (0.5, 1 and 5 mum; fig.",pmc4496363,['nan'],['nan'],1,1,40,1,41
foxp3,protein,,foxp3,uniprot,q9bzs1,,,ctla4,protein,,ctla4,uniprot,p16410,,,positive,i,activation,,,,,,0.65,indra,"however, restoration of foxp3 did not restore the expression levels of ctla4 or gpr83 transcripts (xref_fig), validating the conclusion that akt * affected transcripts of the t reg signature independent of its effect on foxp3.",pmc2275380,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,activity,other,,,text,activity,,,negative,i,inhibition,,,,,,0.65,indra,"the activation of its selective ligand, rosiglitazone, leads to the binding of pparγ at two pten promoter sites, ppar response element 1 and ppar response element 2, thus upregulating pten and inhibiting pi3k activity.",pmc4712330,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,akt,other,,,fplx,akt,,,positive,i,activation,,,,,,0.65,indra,"although akt pathway activation can explain many of the phenotypes associated with pten inactivation, pten gene targeting and genetic activation of akt do not have completely overlapping biological consequences.",pmc4712330,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,akt,other,,,fplx,akt,,,positive,d,increaseamount,,,,,,0.86,indra,we demonstrate that differential akt and mammalian target of rapamycin signaling regulates pten transcription via the foxo1 transcription factor.,pmc4418530,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,akt,other,,pten,fplx,akt,,,negative,i,inhibition,,,,,,0.9419,indra,"although the lipid phosphatase phosphatase and tensin homolog (pten) suppresses akt activity, the control of pten activity is poorly studied in t cells.",pmc4418530,['nan'],['nan'],1,1,40,1,41
foxp3,protein,,foxp3,uniprot,q9bzs1,,,gpr83,protein,,gpr83,uniprot,q9nym4,,,positive,i,activation,,,,,,0.65,indra,"however, restoration of foxp3 did not restore the expression levels of ctla4 or gpr83 transcripts (xref_fig), validating the conclusion that akt * affected transcripts of the t reg signature independent of its effect on foxp3.",pmc2275380,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,myc,protein,,myc,uniprot,p01106,,,negative,i,decreaseamount,,,,,,0.65,indra,"similarly, myc expression is also repressed by increased pten, providing another level of systems amplification.",pmc3949578,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,apc-cdh1,other,,,text,apc-cdh1,,,positive,i,activation,,,,,,0.65,indra,"additionally, nuclear exclusion of pten, but not a phosphatase inactive mutant, was shown to impair the tumor-suppressive apc-cdh1 nuclear complex, again demonstrating tumor-suppressive capability of catalytically inactive pten.",pmc3375464,['nan'],['nan'],1,1,40,1,41
il2ra,protein,,il2ra,uniprot,p01589,,,cd4,protein,,cd4,uniprot,p01730,,,negative,i,inhibition,,,,,,0.65,indra,"similar results were obtained with cd25 depleted cd4 + t cells (xref_supplementary) to determine if pten activity regulated cd4 + t cell differentiation, activation assays were performed in the presence of a pten inhibitor.",pmc4418530,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,cd4,protein,,cd4,uniprot,p01730,,,positive,i,activation,,,,,,0.65,indra,"by combining biochemical and computational modeling approaches, our work defines how differential regulation of pten can produce alternate cd4 + t cell fate outcomes.",pmc4418530,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,cd8,other,,,fplx,cd8,,,positive,i,activation,,,,,,0.65,indra,"deletion of pten, or expression of constitutively active myristoylated-akt, within the cd8 + t cell compartment inhibits the development and survival of memory cd8 + t cells.",pmc3375464,['nan'],['nan'],1,1,40,1,41
il2,protein,,il2,uniprot,p60568,,,pi3k,other,,,fplx,pi3k,,,positive,i,activation,,,,,,0.65,indra,"however, il-2 also activates pi3k mediated pathways and thus would be predicted to increase t cell activation and metabolism.",pmc3949578,['nan'],['nan'],1,1,40,1,41
il2,protein,,il2,uniprot,p60568,,,metabolic process,bioprocess,,,go,go:0008152,,,positive,i,activation,,,,,,0.65,indra,"however, il-2 also activates pi3k mediated pathways and thus would be predicted to increase t cell activation and metabolism.",pmc3949578,['nan'],['nan'],1,1,40,1,41
il2,protein,,il2,uniprot,p60568,,,itk,protein,,itk,uniprot,q08881,,,positive,i,activation,,,,,,0.65,indra,altered il-2 signaling in the absence of itk.,pmc3949578,['nan'],['nan'],1,1,40,1,41
il2,protein,,il2,uniprot,p60568,,,cell differentiation,bioprocess,,rplp0,go,go:0030154,,,positive,i,activation,,,,,,0.65,indra,"although these data indicate an important role for tcr signaling in regulating cellular metabolism and the differentiation of t reg cells, cytokines, particularly il-2, are also important contributors to t reg cell differentiation.",pmc3949578,['nan'],['nan'],1,1,40,1,41
il2,protein,,il2,uniprot,p60568,,,cell differentiation,bioprocess,,,go,go:0030154,,,negative,i,inhibition,,,,,,0.65,indra,"in contrast, although il-2 promotes expression of foxp3 via activation of stat5, il-2 and stat5 activation inhibit th17 cell differentiation.",pmc3949578,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,clec4d,protein,,clec4d,uniprot,q8wxi8,,,negative,i,inhibition,,,,,,0.65,indra,"the authors found no phosphatidyl inositol 3-kinase catalytic subunit (pik3ca) mutations in the primary specimens or cell lines, suggesting that loss of pten activates the pi3k and akt pathway in mcl.",pmc4712330,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,cell migration,bioprocess,,,go,go:0016477,,,negative,i,inhibition,,,,,,0.65,indra,"pten has been shown to inhibit cell migration through its c2 domain, independent of pten 's lipid phosphatase activity [xref_bibr].",pmc4712330,['nan'],['nan'],1,1,40,1,41
mtor,protein,,mtor,uniprot,p42345,,,pak1,protein,,pak1,uniprot,q13153,,,positive,i,activation,,,,,,0.65,indra,"low mtor activity, as seen in dm t cells and as mimicked by rapamycin, rapalog, ku, and raptor sirna treatment, increased pak1 signaling whereas mtor activation, by treatment with leucine, non essential amino acids and pyruvate, decreased pak1 signaling.",pmc4487994,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,tcr,other,,,fplx,tcr,,,negative,i,inhibition,,,,,,0.65,indra,"however, altered myc and pten expression are likely not to be the only mechanisms by which itk deficiency and decreased tcr signaling influence t reg cell development.",pmc3949578,['nan'],['nan'],1,1,40,1,41
foxp3,protein,,foxp3,uniprot,q9bzs1,,,itk,protein,,itk,uniprot,q08881,,,positive,i,activation,,,,,,0.86,indra,"consistent with the increased foxp3 induction in itk -/- cells exposed to il-2, itk deficient cells showed increased il-2-induced pstat5 compared with wt cells (xref_fig, left).",pmc3949578,['nan'],['nan'],1,1,40,1,41
mtor,protein,,mtor,uniprot,p42345,,,cell differentiation,bioprocess,,,go,go:0030154,,,negative,i,inhibition,,,,,,0.65,indra,"however, recent data implicates the transcription factor foxo1 in the induction of treg, and phosphorylation of foxo1 by akt was established as a mechanism by which akt and mtor signaling inhibits treg differentiation.",pmc4418530,['nan'],['nan'],1,1,40,1,41
mtor,protein,,mtor,uniprot,p42345,,,eif4ebp1,protein,,eif4ebp1,uniprot,q13541,,,negative,i,inhibition,,,,,,0.65,indra,the active mtor complex 1 phosphorylates the p70 ribosomal protein s6 kinase (s6k) and inhibits 4e-binding protein 1 to activate protein translation [ xref ].,pmc4712330,['nan'],['nan'],1,1,40,1,41
pik3ca,protein,,pik3ca,uniprot,p42336,,,phosphatidylinositol phosphate,simplechemical,,,chebi,chebi:28765,,,positive,i,activation,,,,,,0.65,indra,"in response to stimuli, p110alpha produces an acute flux of pip 3, which is efficiently coupled to akt phosphorylation.",pmc4712330,['nan'],['nan'],1,1,40,1,41
mtor,protein,,mtor,uniprot,p42345,,,"transcription, dna-templated",bioprocess,,,go,go:0006351,,,positive,i,activation,,,,,,0.65,indra,"notably, cd4 + t cells deficient in hif1alpha, an mtor induced transcription factor that helps induce the expression of genes encoding glycolytic enzymes, preferentially differentiate into t reg cells rather than th17 cells, similar to our findings in itk deficient cells.",pmc3949578,['nan'],['nan'],1,1,40,1,41
mtor,protein,,mtor,uniprot,p42345,,,pak1,protein,,pak1,uniprot,q13153,,,negative,i,inhibition,,,,,,0.65,indra,"low mtor activity, as seen in dm t cells and as mimicked by rapamycin, rapalog, ku, and raptor sirna treatment, increased pak1 signaling whereas mtor activation, by treatment with leucine, non essential amino acids and pyruvate, decreased pak1 signaling.",pmc4487994,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,phosphatase,other,,,fplx,phosphatase,,,negative,i,inhibition,,,,,,0.65,indra,"other studies have shown that the pip 3 -dependent rac exchange factor 2 and shank associated rh domain interactor proteins bind directly to pten to inhibit its lipid phosphatase activity [xref_bibr, xref_bibr].",pmc4712330,['nan'],['nan'],1,1,40,1,41
