,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score,Direct,Mechanism,,
2076,pp2a,protein,p67775,nan,nan,cellosaurus:cvcl_0041,nan,nan,nan,nan,nan,nan,nan,igf-1,protein,p05019,nan,nan,i,['none'],['pmc2868031'],"['furthermore , we found that igf-1 decreased the activity of pp2a , which was prevented by rapamycin ( xref_fig ) . ++++ igf-1 stimulation of mtor represses pp2a , resulting in activation of erk1/2 and this is prevented by rapamycin .']",1,10,20,1,30,,,,
2126,pten,protein,p60484,nan,nan,nan,cl:cl:0000037,nan,pten,protein,p60484.m,nan,nan,nan,nan,nan,nan,nan,i,['transcription'],['pmc3660063'],['pten promoter methylation leads to low pten expression [ xref_bibr ] .'],1,10,20,1,30,,,,
207,akt2,protein,p31751,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,akt1,protein,p31749,nan,nan,i,['none'],['pmc3039802'],"['combinations of alpha-tea+ akt1 or 2 sirna acted cooperatively to induce apoptosis ( xref_fig ) and inhibit pakt ( ser 473 ) and total akt1 and akt2 , respectively , as well as pmtor ( ser 2448 ) , but had no effect on basal levels of perk1/2 , showing that the erk signalling pathway is independent of akt signalling ( xref_fig ) .']",1,10,20,1,30,,,,
2148,rac1,protein,p63000,other,go:0042641,nan,nan,nan,egfr,protein,p00533,other,go:0042641,nan,nan,nan,nan,nan,i,['none'],['pmc3537888'],"['egfr signaling is known to activate rac1 [ xref_bibr ] , which also regulates actomyosin contractility and cell shape , thus egfr activated rac1 may not only support pdgfr inhibitor-iv induced cell rounding but also stat3 nuclear import . ++++ egfr signaling is known to activate rac1 [ xref_bibr ] , which also regulates actomyosin contractility and cell shape , thus egfr activated rac1 may not only support pdgfr inhibitor-iv induced cell rounding but also stat3 nuclear import .']",1,10,20,1,30,,,,
2405,src,protein family|protein complex,src,nan,nan,cellosaurus:cvcl_0045,nan,nan,ir,protein,p06213,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc2683723'],"['considering a substantial src contribution to gab1 phosphorylation under various conditions , the model explains this observation by the fact that src is preferably activated by egfr and not by ir .']",1,10,20,1,30,,,,
2406,src,protein family|protein complex,src,nan,nan,cellosaurus:cvcl_0045,nan,nan,nan,nan,nan,nan,nan,pp2,protein family|protein complex,ppp2,nan,nan,i,['none'],['pmc2993755'],"['to test whether noxa1 is targeted by src under more physiological conditions , ht29 cells were treated with src inhibitor pp2 or pp3 , endogenous or ectopically expressed noxa1 was immunoprecipitated and the levels of tyrosine ( tyr )-phosphorylated noxa1 were analyzed using p-tyr antibody .']",1,10,20,1,30,,,,
2410,src,protein family|protein complex,src,nan,nan,cellosaurus:cvcl_5594 ++++ cellosaurus:cvcl_s979,cl:cl:0000575 ++++ cl:cl:2000042,nan,src,protein family|protein complex,src,nan,nan,nan,nan,nan,nan,nan,i,['generic_event'],['pmc3709701'],"['crosstalk of met with the src and egfr signaling pathway has also been demonstrated in bladder carcinoma cells , in which serum independent growth of the cells requires the activation of egfr and src , which leads to the phosphorylation of met on y1003 [ xref_bibr ] . ++++ another kind of environmental pollutant , hexachlorobenzene , has also been shown to promote src activation and y845 phosphorylation of egfr , which leads to the activation of stat5b and the erk and mapk pathways and cell migration [ xref_bibr , xref_bibr ] . ++++ the cytotoxicity of arsenic trioxide in keratinocytes involves nadph oxidase and p67 phox -mediated production of ros , which is under the control of src activation and y845 phosphorylation of egfr [ xref_bibr ] . ++++ for example , in sum229 breast cancer cells , src activation and y845 phosphorylation of egfr depend upon the activity of met , as judged by the effects of the met specific activator ( hgf ) and inhibitors ( su11274 ) .']",1,10,20,1,30,,,,
2415,src,protein family|protein complex,src,nan,nan,nan,nan,nan,ir,protein,p06213,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc2683723'],"['in the model , these kinases are linked to src activity , which is differently stimulated by egfr or ir .']",1,10,20,1,30,,,,
2519,tsc2,protein,p49815,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,wnt,protein family|protein complex,wnt,nan,nan,i,['phosphorylation'],['pmc4102778'],"['in contrast , wnt signaling suppresses gsk-3-mediated phosphorylation of tsc2 and the mtorc1 pathway is activated .']",1,10,20,1,30,,,,
2575,vegf,protein,p15692,nucleus,go:0005634,nan,nan,nan,pten,protein,p60484:[genericmutant],nucleus,go:0005634,nan,nan,nan,nan,nan,i,['amount'],['pmc2652403'],"['furthermore , in human glioblastoma cells , pten mutation can cooperate with egfr activation to increase vegf mrna levels by transcriptionally up-regulating the proximal vegf promoter via the pi3k and akt pathway [ xref_bibr ] .']",1,10,20,1,30,,,,
2595,wnt,protein family|protein complex,wnt,nan,nan,cellosaurus:cvcl_7955,nan,nan,nan,nan,nan,nan,nan,smad4,protein,q13485,nan,nan,i,['none'],['pmc4845174'],['the findings reported here provide new insights into the mechanism by which point mutations in smad4 cause their rapid degradation in tumor cells .'],1,10,20,1,30,,,,
2605,wnt,protein family|protein complex,wnt,nan,nan,nan,nan,nan,wnt,protein family|protein complex,wnt,nan,nan,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc2654145'],"['on activation by wnt , the wnt co-receptor ldl receptor related protein 6 ( lrp6 ) is phosphorylated at multiple conserved intracellular pppspxs motifs by glycogen synthase kinase 3 ( gsk3 ) and casein kinase 1 ( ck1 ) , resulting in recruitment of the scaffolding protein axin to lrp6 .']",1,10,20,1,30,,,,
1870,p53,protein,p04637,nucleus,go:0005634,cellosaurus:cvcl_0022,nan,nan,pten,protein,p60484,nucleus,go:0005634,nan,nan,nan,nan,nan,i,['none'],['pmc2652403'],['retroviral transduction of pten into pten null glioblastoma cells increases p53 activity and expression of p53 target genes and induces cell cycle arrest [ xref_bibr ] . ++++ retroviral transduction of pten into pten null glioblastoma cells increases p53 activity and expression of p53 target genes and induces cell cycle arrest [ xref_bibr ] .'],1,10,20,1,30,,,,
1779,p38,protein family|protein complex,p38,nan,nan,cellosaurus:cvcl_0045,nan,nan,pp2,protein family|protein complex,ppp2,nan,nan,"src*1, src*1-","protein family|protein complex, protein family|protein complex","src, src.t",nan,nan,i,['phosphorylation'],['pmc4624070'],"['as shown in xref_fig , src over-expression significantly increased phosphorylation of p38 and the src induced phosphorylation of p38 is completely blocked by pp2 pre-treatment .']",1,10,20,1,30,,,,
491,caspase-7,protein,p55210,nan,nan,cellosaurus:cvcl_0063,nan,nan,caspase-9,protein,p55211,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc4040661'],['the presence of caspase-9 protein activated caspase-7 to a higher level than in its absence .'],1,10,20,1,30,,,,
1309,integrin,protein,p08648,nan,nan,nan,nan,nan,src,protein family|protein complex,src,nan,nan,yfp-cd2,protein,p06729.t,nan,nan,i,['none'],['pmc4638348'],['expression of yfp-cd2 inhibits src mediated integrin and fak signaling .'],1,10,20,1,30,,,,
576,cdk4,protein,p11802,nan,nan,cellosaurus:cvcl_0291,nan,nan,cdk4,protein,p11802,nan,nan,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc3667761'],"['the model depicted in xref_fig assembles our main observations : cdk7 is required for cdk4 activation in vivo , but this requirement is conditioned by cdk4 binding to p21 , and other cdk4 activating kinases must exist to phosphorylate p21-unbound cdk4 during cdk7 inhibition .']",1,10,20,1,30,,,,
583,cdk4,protein,p11802,nan,nan,nan,nan,nan,cdk4,protein,p11802,nan,nan,nan,nan,nan,nan,nan,d,['phosphorylation'],['pmc3667761'],['cdk4 was not phosphorylated by recombinant cdk2 and cdk4 complexes in these experiments ( not shown ) .'],1,10,20,1,30,,,,
635,chk2,protein,o96017,nan,nan,cellosaurus:cvcl_0045,nan,nan,nan,nan,nan,nan,nan,chk2,protein,o96017,nan,nan,i,['transcription'],['pmc4159025'],['inhibition of chk2 expression by antisense chk2 and hcds1 ( chk2as ) reduced dna damage-induce s and g2 checkpoints and facilitated apoptosis in human embryonic kidney 293 cells ( hek293 ) in a p53 independent manner [ xref_bibr ] .'],1,10,20,1,30,,,,
636,chk2,protein,o96017,nan,nan,cellosaurus:cvcl_0428,nan,nan,nan,nan,nan,nan,nan,chk2,protein,o96017,nan,nan,i,['amount'],['pmc4159025'],['knockdown of chk2 by chk2 specific sirna completely reduced the level of chk2 in mia paca-2 cells ( xref_fig a ) .'],1,10,20,1,30,,,,
775,dp,protein,p15924,cytoplasm,go:0005737,nan,nan,nan,nan,nan,nan,nan,nan,dp,protein,p15924:[substitutionmutant],cytoplasm,go:0005737,i,['phosphorylation'],['pmc4347645'],['these data support in vitro observations that r2834h dp decreases phosphorylation of dp compared with wt .'],1,10,20,1,30,,,,
839,egfr,protein,p00533,other,go:0009986,cellosaurus:cvcl_0022,nan,uberon:uberon:2005088,nan,nan,nan,nan,nan,pkc,protein family|protein complex,pkc,other,go:0009986,i,['none'],['pmc3709701'],"['in a431 and human embryonic kidney 293 ( hek293 ) cells , diacylglycerol kinase theta has been shown to counteract such pkc dependent inactivation of egfr , so that y845 phosphorylation and other signaling events are maintained [ xref_bibr ] .']",1,10,20,1,30,,,,
1234,hif-1alpha,protein,q16665,nan,nan,cellosaurus:cvcl_s979,nan,nan,pten,protein,p60484,nan,nan,nan,nan,nan,nan,nan,i,['amount'],['pmc2652403'],"['in another study , insulin and epidermal growth factor or an inactivating mutation in the tumor suppressor pten specifically increased the protein levels of hif-1alpha , but not of hif-1beta in human cancer cell lines [ xref_bibr ] .']",1,10,20,1,30,,,,
1298,insulin,protein,p01308,nan,nan,cellosaurus:cvcl_1561,nan,nan,mapk,protein family|protein complex,erk,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc150512'],"['to examine whether the p44/42 mapk pathway mediates insulin signaling in the h441 cells , pd98059 , an inhibitor of the p44/42 mapk pathway , was used [ xref_bibr ] .']",1,10,20,1,30,,,,
1325,irs-1,protein,p35568,nan,nan,nan,nan,nan,mammalian target of rapamycin,protein,p42345,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3039802'],"['mammalian target of rapamycin and erk have been reported to negatively regulate irs-1 via their downstream mediator p70s6k , providing a negative feedback mechanism for turning off activation of akt .']",1,10,20,1,30,,,,
1778,p38,protein family|protein complex,p38,nan,nan,cellosaurus:cvcl_0045,nan,nan,pp2,protein family|protein complex,ppp2,nan,nan,"src*1, src*1-","protein family|protein complex, protein family|protein complex","src, src",nan,nan,i,['phosphorylation'],['pmc4624070'],"['as shown in xref_fig , src over-expression significantly increased phosphorylation of p38 and the src induced phosphorylation of p38 is completely blocked by pp2 pre-treatment .']",1,10,20,1,30,,,,
1335,irs-1,protein,p35568,nan,nan,nan,nan,uberon:uberon:0000468,jnk,protein family|protein complex,jnk,nan,nan,nan,nan,nan,nan,nan,i,['phosphorylation'],['pmc3039802'],"['in this study we report that alpha-tea functions as an irs-1 suppressor in human breast cancer cells via jnk dependent phosphorylation of irs-1 at ser 307 . ++++ the following sequence of events are proposed for alpha-tea-mediated apoptosis : alpha-tea inhibits pi3k via jnk mediated phosphorylation of irs-1 at ser 307 , resulting in inactivation of akt and mtor and ras and erk , which act cooperatively in alpha-tea-induced mitochondrial dependent proapoptotic events via activation of bad and caspase-9 .']",1,10,20,1,30,,,,
1398,mapk,protein family|protein complex,erk,other,go:0016020,cellosaurus:cvcl_0045,nan,nan,insulin,protein,p01308,other,go:0016020,nan,nan,nan,nan,nan,i,['none'],['pmc2683723'],"['insulin potentiates mapk responses to physiological egf concentrations . ++++ the data presented in xref_fig ( middle panel ) validate the model prediction and also show that insulin is unable to enhance mek and erk when pi3k is inhibited ( xref_fig , all panels ) . ++++ in hek293 cells , insulin is a poor activator of the ras and erk ( extracellular signal regulated kinase ) cascade , yet it enhances erk activation by low egf doses . ++++ in hek293 cells , insulin is a poor activator of the ras and erk ( extracellular signal regulated kinase ) cascade , yet it enhances erk activation by low egf doses . ++++ we show that , although in hek293 cells insulin by itself is a poor activator of erk , it greatly enhances mapk pathway activation by physiological egf concentrations . ++++ the simulated erk dynamics in cells with different gab1 expression ( xref_fig ) suggest that insulin significantly increases robustness of erk activation to gab1 downregulation . ++++ both the experimental data and simulations showed that the activation of the ras and erk and pi3k and akt pathways by persistent egf or insulin stimulation was transient ( xref_fig and xref_supplementary ) . ++++ we show that , although in hek293 cells insulin by itself is a poor activator of erk , it greatly enhances mapk pathway activation by physiological egf concentrations .']",1,10,20,1,30,,,,
1399,mapk,protein family|protein complex,erk,other,go:0016020,cellosaurus:cvcl_3772 ++++ cellosaurus:cvcl_0045,nan,nan,egf,protein,p01133,other,go:0016020,nan,nan,nan,nan,nan,i,['none'],['pmc2683723'],"['the simulations show that for egf plus insulin stimulation , the peak level of phospho-erk decreases only slightly with gab1 depletion , whereas for egf induced erk activation , the peak level decreases significantly ( xref_fig , right panel ) . ++++ there is evidence that insulin can enhance egf stimulated extracellular signal regulated kinase ( erk ) activation , dna synthesis , and cell proliferation responses , whereas growth factors , cytokines , and other hormones can negatively regulate insulin signaling . ++++ both the experimental data and simulations showed that the activation of the ras and erk and pi3k and akt pathways by persistent egf or insulin stimulation was transient ( xref_fig and xref_supplementary ) . ++++ an alternative pathway of pip 3 -dependent erk activation involves phosphoinositide dependent kinase-1 ( pdk1 ) , a target of pi3k , which can activate mek directly and erk indirectly through the activation of certain pkc isoforms , although it has been reported that pkcs are not involved in egf induced erk activation . ++++ we show that , although in hek293 cells insulin by itself is a poor activator of erk , it greatly enhances mapk pathway activation by physiological egf concentrations .']",1,10,20,1,30,,,,
1446,mdm2,protein,q00987,other,go:0005654,nan,nan,nan,nan,nan,nan,nan,nan,cdkn2a,protein,p42771,other,go:0005654,i,['none'],['pmc4171619'],"['this supports previous data on akt mediated targeting of mdm2 and our current observations , as akt can promote either negative or positive regulation of p53 depending on the presence of arf and its ability to restrict mdm2 activity in the nucleoplasm ( xref_supplementary ) .']",1,10,20,1,30,,,,
1572,mtorc1,protein family|protein complex,mtorc1,other,go:0038201,nan,nan,nan,insulin,protein,p01308,other,go:0038201,nan,nan,nan,nan,nan,i,['none'],['pmc2075366'],"['mtorc1 is activated by nutrients ( amino acids ) , anabolic growth factors ( e.g. , insulin and insulin like growth factor ) , and cellular energy ( atp ) xref_bibr - xref_bibr .']",1,10,20,1,30,,,,
1708,p21,protein,p38936,nan,nan,atcc:crl-2522,nan,nan,pten,protein,p60484,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc3325598'],['cells with depleted pten protein levels or expressing pik3ca e545k exhibited increased levels of phospho-akt and phosphorylation of the akt substrate pras40 ( proline rich akt substrate of 40kda ) demonstrating pi3k pathway activation and consistent with a previous report accumulation of cell cycle inhibitors p53 and its target p21 ( xref_fig ) .'],1,10,20,1,30,,,,
1772,p38,protein family|protein complex,p38,nan,nan,cellosaurus:cvcl_0045,nan,nan,nan,nan,nan,nan,nan,src,protein family|protein complex,src.t,nan,nan,i,['phosphorylation'],['pmc4624070'],"['because inhibition of src blocked ep2 induced p38 phosphorylation , we anticipated that overexpression of src would induce phosphorylation of p38 .']",1,10,20,1,30,,,,
1777,p38,protein family|protein complex,p38,nan,nan,cellosaurus:cvcl_0045,nan,nan,pp2,protein family|protein complex,ppp2,nan,nan,src,protein family|protein complex,src.p,nan,nan,i,['phosphorylation'],['pmc4624070'],"['as shown in xref_fig , src over-expression significantly increased phosphorylation of p38 and the src induced phosphorylation of p38 is completely blocked by pp2 pre-treatment .']",1,10,20,1,30,,,,
2610,wnt,protein family|protein complex,wnt,other,go:0005925,nan,nan,nan,nan,nan,nan,nan,nan,tp53,protein,p04637,other,go:0005925,i,['none'],['pmc4102778'],['tp53 and mirna34 are normally suppressors of wnt and beta catenin signaling [ xref_bibr ] .'],1,10,20,1,30,,,,
