Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC ID,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC ID,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
tcr,protein,,,,p01850,,,mek1,protein,,,,q02750,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,1.0,40.0,1.0,41.0
iqgap1,protein,,,,p46940,,,mek2,protein,,,,p36507,,,negative,False,nan,,,,,,,,nan,pmc3625979,1.0,100.0,40.0,1.0,140.0
mtorc2,complex,,,,q6r328,,,mtorc2,complex,,,,q6r327,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,10.0,20.0,1.0,30.0
akt,protein,,,,p31749,,,mtorc2,complex,,,,q6r327,,,negative,False,nan,,,,,,,,nan,pmc4418530,1.0,10.0,1.0,1.0,11.0
tcr,protein,,,,p01850,,,mtorc2,complex,,,,q6r327,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,10.0,1.0,1.0,11.0
cd28,protein,,,,p10747,,,mtorc2,complex,,,,q6r328,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,10.0,1.0,1.0,11.0
il2_ex,protein,,,,p60568,,,mtorc2,complex,,,,q6r329,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,10.0,1.0,1.0,11.0
il2_r,protein,,,,p01589,,,mtorc2,complex,,,,q6r330,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,10.0,1.0,1.0,11.0
itk,protein,,,,q08881,,,myc,protein,,,,p01106,,,negative,False,nan,,,,,,,,nan,pmc3949578,1.0,0.1,40.0,1.0,40.1
tcr,protein,,,,p04235,,,nedd4,protein,,,,p46934,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,1.0,40.0,1.0,41.0
cd5,protein,,,,p06127,,,p38,family,,,,p38,,,positive,False,nan,,,,,,,,nan,pmc5193405,1.0,0.1,40.0,1.0,40.1
bam32,protein,,,,q9un19,,,pak1,protein,,,,q13153,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,0.1,40.0,1.0,40.1
bim,protein,,,,o43521,,,pak1,protein,,,,q13153,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,0.1,40.0,1.0,40.1
erk,family,,,,p29323,,,pak1,protein,,,,q13153,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,0.1,40.0,1.0,40.1
mtor,protein,,,,p42345,,,pak1,protein,,,,q13153,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,1.0,40.0,1.0,41.0
mtorc1,protein,,,,q8n122,,,pak1,protein,,,,q13153,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,1.0,40.0,1.0,41.0
mtor,protein,,,,p42345,,,pak1,protein,,,,q13153,,,negative,False,nan,,,,,,,,nan,pmc4487994,1.0,1.0,40.0,1.0,41.0
pi3k,protein,,,,p42336,,,pak1,protein,,,,q13153,,,negative,False,nan,,,,,,,,nan,pmc4487994,1.0,1.0,40.0,1.0,41.0
sipak1,protein,,,,uaz03324,,,pak1,protein,,,,q13153,,,negative,False,nan,,,,,,,,nan,pmc4487994,1.0,0.1,40.0,1.0,40.1
ship,protein,,,,q92835,,,pi,protein,,,,p42336,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,100.0,40.0,1.0,140.0
pi3k,protein,,,,p42336,,,pip3,protein,,,,hmdb10147,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,10.0,1.0,1.0,11.0
tcr,protein,,,,p01850,,,pip3,protein,,,,hmdb10147,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,10.0,1.0,1.0,11.0
pten,protein,,,,p60484,,,pip3,protein,,,,hmdb10148,,,negative,False,nan,,,,,,,,nan,pmc4418530,1.0,10.0,1.0,1.0,11.0
pi3,protein,,,,p42336,,,pip3,simple-chemical,,,,hmdb10147,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,10.0,1.0,1.0,11.0
pi3k,protein,,,,p42336,,,pip3,simple-chemical,,,,hmdb10147,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,10.0,1.0,1.0,11.0
foxo1,protein,,,,q12778,,,pten,protein,,,,p60484,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,10.0,40.0,1.0,50.0
mek,family,,,,mek,,,pten,protein,,,,p60484,,,positive,False,nan,,,,,,,,nan,pmc3625979,1.0,100.0,40.0,1.0,140.0
ck2,protein,,,,ck2,,,pten,protein,,,,p60484,,,negative,False,nan,,,,,,,,nan,pmc4496363,1.0,100.0,40.0,1.0,140.0
nedd4,protein,,,,p46934,,,pten,protein,,,,p60484,,,negative,False,nan,,,,,,,,nan,pmc4712330,1.0,100.0,40.0,1.0,140.0
p53,protein,,,,p04637,,,pten,protein,,,,p60484,,,negative,False,nan,,,,,,,,nan,pmc4712330,1.0,100.0,40.0,1.0,140.0
pi3k,protein,,,,p42336,,,pten,protein,,,,p60484,,,negative,False,"nan,nan",,,,,,,,"nan,nan","pmc4712330,pmc4496363",2.0,10.0,20.0,1.0,40.0
ras,family,,,,pf00071,,,pten,protein,,,,p60484,,,negative,False,nan,,,,,,,,nan,pmc4712330,1.0,100.0,40.0,1.0,140.0
tcr,protein,,,,p04234,,,pten,protein,,,,p60484,,,negative,False,nan,,,,,,,,nan,pmc3949578,1.0,10.0,20.0,1.0,30.0
pi3k,protein,,,,p42336,,,pten,protein,,,,p60484,,,positive,False,nan,,,,,,,,nan,pmc4712330,1.0,10.0,1.0,1.0,11.0
mek1,protein,,,,q02750,,,pten,protein,,,,p60485,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,100.0,40.0,1.0,140.0
ck2,protein,,,,q53gl0,,,pten,protein,,,,p60486,,,negative,False,nan,,,,,,,,nan,pmc4418530,1.0,100.0,40.0,1.0,140.0
nedd4,protein,,,,p46934,,,pten,protein,,,,p60487,,,negative,False,nan,,,,,,,,nan,pmc4418530,1.0,100.0,40.0,1.0,140.0
erk,family,,,,p29323,,,s5b,protein,,,,uaz02655,,,positive,False,nan,,,,,,,,nan,pmc3625979,1.0,0.1,40.0,1.0,40.1
akt,family,,,,p31749,,,tbk1,protein,,,,q9uhd2,,,positive,False,"nan,nan",,,,,,,,"nan,nan","pmc4302769,pmc4302769",2.0,1.0,40.0,1.0,42.0
mtorc1,protein,,,,q8n122,,,tbk1,protein,,,,q9uhd2,,,positive,False,nan,,,,,,,,nan,pmc4302769,1.0,1.0,40.0,1.0,41.0
itk,protein,,,,q08881,,,th17,protein,,,,uaz02468,,,positive,False,nan,,,,,,,,nan,pmc3949578,1.0,0.1,40.0,1.0,40.1
pdl1,protein,,,,q9nzq7,,,treg,protein,,,,uaz02439,,,negative,False,nan,,,,,,,,nan,pmc4669187,1.0,0.1,40.0,1.0,40.1
